HS - Combined  Product Code,HS - Combined  Product Description,MTN Categories Product Code,MTN Categories Product Description
441029,(2002-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441031,(2002-2006) Unworked or not further worked than sanded,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441032,(2002-2006) Surfacecovered with melamineimpregnated paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441033,(2002-2006) Surfacecovered with decorative laminates of plastics,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441039,(2002-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441090,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441111,(-2006) Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441119,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441121,(-2006) Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441129,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441131,(-2006) Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441139,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441191,(-2006) Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441199,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441211,(-1995) Plywood with >=1 outer ply of tropical woo,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441212,(-1995) Plywood with >=1 outer ply of non-conifero,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441213,(1996-2006) With at least one outer ply of tropical wood specified in Subheading Note 1 to this Chapter,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441214,"(1996-2006) Other, with at least one outer ply of nonconiferous wood",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441219,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441221,"(-1995) Plywood... >6mm non-coniferous outer ply, ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441222,(1996-2006) With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441223,"(1996-2006) Other, containing at least one layer of particle board",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441229,(-2006) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441291,(-1995) Plywood... containing at least one layer o,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441292,(1996-2006) With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441293,"(1996-2006) Other, containing at least one layer of particle board",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441299,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441300,"Densified wood, in blocks, plates, strips or profile shapes.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
450200,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharpedged blanks for corks or stoppers).",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480100,"Newsprint, in rolls or sheets.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480210,Handmade paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480220,"Paper and paperboard of a kind used as a base for photosensitive, heatsensitive or electrosensitive paper or paperboard",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480230,(-2006) Carbonising base paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480240,Wallpaper base,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480251,"(-2001) Other paper and paperboard, not containing fibres ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480252,"(-2001) Other paper and paperboard, not containing fibres ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480253,"(-2001) Other paper and paperboard, not containing fibres ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480254,(2002-) Weighing less than 40 g/m²,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480255,"(2002-) Weighing 40 g/m² or more but not more than 150 g/m², in rolls",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480256,"(2002-) Weighing 40 g/m² or more but not more than 150 g/m², in sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480257,"(2002-) Other, weighing 40 g/m² or more but not more than 150 g/m²",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480258,(2002-) Weighing more than 150 g/m²,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480260,"(-2001) Other paper and paperboard, of which more than 10 ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480261,(2002-) In rolls,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480262,(2002-) In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480269,(2002-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surfacecoloured, surfacedecora",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480411,Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480419,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480421,Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480429,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480431,Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480439,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480441,Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480442,Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480449,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480451,Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480452,Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood obtained by a chemical process,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480459,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480510,(-2001) Semi-chemical fluting paper (corrugating medium),0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480511,(2002-) Semichemical fluting paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480512,(2002-) Straw fluting paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480519,(2002-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480521,(-2001) Multi-ply paper and paperboard :-- Each layer blea,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480522,(-2001) Multi-ply paper and paperboard :-- With only one o,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480523,(-2001) Multi-ply paper and paperboard :-- Having three or,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480524,(2002-) Weighing 150 g/m² or less,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480525,(2002-) Weighing more than 150 g/m²,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480529,(-2001) Multi-ply paper and paperboard :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480530,Sulphite wrapping paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480540,Filter paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480550,Felt paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480560,"(-2001) Other paper and paperboard, weighing 150 g/m2 or l",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480570,"(-2001) Other paper and paperboard, weighing more than 150",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480580,"(-2001) Other paper and paperboard, weighing 225 g/m2 or m",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480591,(2002-) Weighing 150 g/m² or less,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480592,(2002-) Weighing more than 150 g/m² but less than 225 g/m²,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480593,(2002-) Weighing 225 g/m² or more,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480610,Vegetable parchment,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480620,Greaseproof papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480630,Tracing papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480640,Glassine and other glazed transparent or translucent papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480700,"(2002-) Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surfacecoated or impregnated, whether or not internally reinforced, in rolls or sheets.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480710,"(-2001) Paper and paperboard, laminated internally with bi",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480790,(1996-2001) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480791,"(-1995) Straw paper and paperboard, in rolls or sh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480799,"(-1995) Composite paper and paperboard, in rolls o",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480810,"Corrugated paper and paperboard, whether or not perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480820,"Sack kraft paper, creped or crinkled, whether or not embossed or perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480830,"Other kraft paper, creped or crinkled, whether or not embossed or perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480890,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480910,(-2006) Carbon or similar copying papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480920,Selfcopy paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480990,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481011,"(-2001) Paper and paperboard of a kind used for writing, p",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481012,"(-2001) Paper and paperboard of a kind used for writing, p",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481013,(2002-) In rolls,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481014,(2002-) In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481019,(2002-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481021,"(-2001) Paper and paperboard of a kind used for writing, p",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481022,(2002-) Lightweight coated paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481029,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481031,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m² or less",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481032,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing more than 150 g/m²",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481039,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481091,(-2001) Other paper and paperboard :-- Multi-ply,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481092,(2002-) Multiply,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481099,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481110,"Tarred, bituminised or asphalted paper and paperboard",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481121,(-2001) Gummed or adhesive paper and paperboard :-- Self-a,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481129,(-2001) Gummed or adhesive paper and paperboard :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481131,"(-2001) Paper and paperboard coated, impregnated or covere",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481139,"(-2001) Paper and paperboard coated, impregnated or covere",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481140,"(-2001) Paper and paperboard, coated, impregnated or cover",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481141,(2002-) Self-adhesive,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481149,(2002-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481151,"(2002-) Bleached, weighing more than 150 g/m²",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481159,(2002-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481160,"(2002-) Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481190,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481200,"Filter blocks, slabs and plates, of paper pulp.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441400,"Wooden frames for paintings, photographs, mirrors or similar objects.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441510,"Cases, boxes, crates, drums and similar packings; cabledrums",0103,"Wood, pulp, paper & furniture, finished manufactur"
441520,"Pallets, box pallets and other load boards; pallet collars",0103,"Wood, pulp, paper & furniture, finished manufactur"
441600,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441810,"Windows, Frenchwindows and their frames",0103,"Wood, pulp, paper & furniture, finished manufactur"
441820,Doors and their frames and thresholds,0103,"Wood, pulp, paper & furniture, finished manufactur"
441830,(-2006) Parquet panels,0103,"Wood, pulp, paper & furniture, finished manufactur"
441840,Shuttering for concrete constructional work,0103,"Wood, pulp, paper & furniture, finished manufactur"
441850,Shingles and shakes,0103,"Wood, pulp, paper & furniture, finished manufactur"
441890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
441900,"Tableware and kitchenware, of wood.",0103,"Wood, pulp, paper & furniture, finished manufactur"
442010,"Statuettes and other ornaments, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
442090,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
442110,Clothes hangers,0103,"Wood, pulp, paper & furniture, finished manufactur"
442190,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
450310,Corks and stoppers,0103,"Wood, pulp, paper & furniture, finished manufactur"
450390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
450410,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinders, including discs",0103,"Wood, pulp, paper & furniture, finished manufactur"
450490,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481310,In the form of booklets or tubes,0103,"Wood, pulp, paper & furniture, finished manufactur"
481320,In rolls of a width not exceeding 5 cm,0103,"Wood, pulp, paper & furniture, finished manufactur"
481390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481410,Ingrain paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481420,"Wallpaper and similar wall coverings, consisting of paper coated or covered, on the face side, with a grained, embossed, coloured, designprinted or otherwise decorated layer of plastics",0103,"Wood, pulp, paper & furniture, finished manufactur"
481430,"(-2006) Wallpaper and similar wall coverings, consisting of paper covered, on the face side, with plaiting material, whether or not bound together in parallel strands or woven",0103,"Wood, pulp, paper & furniture, finished manufactur"
481490,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481610,(-2006) Carbon or similar copying papers,0103,"Wood, pulp, paper & furniture, finished manufactur"
481620,Selfcopy paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481630,(-2006) Duplicator stencils,0103,"Wood, pulp, paper & furniture, finished manufactur"
481690,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481710,Envelopes,0103,"Wood, pulp, paper & furniture, finished manufactur"
481720,"Letter cards, plain postcards and correspondence cards",0103,"Wood, pulp, paper & furniture, finished manufactur"
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery",0103,"Wood, pulp, paper & furniture, finished manufactur"
481810,Toilet paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481820,"Handkerchiefs, cleansing or facial tissues and towels",0103,"Wood, pulp, paper & furniture, finished manufactur"
481830,Tablecloths and serviettes,0103,"Wood, pulp, paper & furniture, finished manufactur"
481840,"Sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles",0103,"Wood, pulp, paper & furniture, finished manufactur"
481850,Articles of apparel and clothing accessories,0103,"Wood, pulp, paper & furniture, finished manufactur"
481890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
481920,"Folding cartons, boxes and cases, of noncorrugated paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
481930,"Sacks and bags, having a base of a width of 40 cm or more",0103,"Wood, pulp, paper & furniture, finished manufactur"
481940,"Other sacks and bags, including cones",0103,"Wood, pulp, paper & furniture, finished manufactur"
481950,"Other packing containers, including record sleeves",0103,"Wood, pulp, paper & furniture, finished manufactur"
481960,"Box files, letter trays, storage boxes and similar articles, of a kind used in offices, shops or the like",0103,"Wood, pulp, paper & furniture, finished manufactur"
482010,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles",0103,"Wood, pulp, paper & furniture, finished manufactur"
482020,Exercise books,0103,"Wood, pulp, paper & furniture, finished manufactur"
482030,"Binders (other than book covers), folders and file covers",0103,"Wood, pulp, paper & furniture, finished manufactur"
482040,Manifold business forms and interleaved carbon sets,0103,"Wood, pulp, paper & furniture, finished manufactur"
482050,Albums for samples or for collections,0103,"Wood, pulp, paper & furniture, finished manufactur"
482090,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482110,Printed,0103,"Wood, pulp, paper & furniture, finished manufactur"
482190,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482210,Of a kind used for winding textile yarn,0103,"Wood, pulp, paper & furniture, finished manufactur"
482290,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482311,"(-2001) Gummed or adhesive paper, in strips or rolls :-- S",0103,"Wood, pulp, paper & furniture, finished manufactur"
482312,(2002-2006) Selfadhesive,0103,"Wood, pulp, paper & furniture, finished manufactur"
482319,(-2006) Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482320,Filter paper and paperboard,0103,"Wood, pulp, paper & furniture, finished manufactur"
482330,"(-1995) Cards, not punched, for punch card machine",0103,"Wood, pulp, paper & furniture, finished manufactur"
482340,"Rolls, sheets and dials, printed for selfrecording apparatus",0103,"Wood, pulp, paper & furniture, finished manufactur"
482351,"(-2001) Other paper and paperboard, of a kind used for wri",0103,"Wood, pulp, paper & furniture, finished manufactur"
482359,"(-2001) Other paper and paperboard, of a kind used for wri",0103,"Wood, pulp, paper & furniture, finished manufactur"
482360,"(-2006) Trays, dishes, plates, cups and the like, of paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
482370,Moulded or pressed articles of paper pulp,0103,"Wood, pulp, paper & furniture, finished manufactur"
482390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490110,"In single sheets, whether or not folded",0103,"Wood, pulp, paper & furniture, finished manufactur"
490191,"Dictionaries and encyclopaedias, and serial instalments thereof",0103,"Wood, pulp, paper & furniture, finished manufactur"
490199,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490210,Appearing at least four times a week,0103,"Wood, pulp, paper & furniture, finished manufactur"
490290,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490300,"Children's picture, drawing or colouring books.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490400,"Music, printed or in manuscript, whether or not bound or illustrated.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490510,Globes,0103,"Wood, pulp, paper & furniture, finished manufactur"
490591,In book form,0103,"Wood, pulp, paper & furniture, finished manufactur"
490599,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; handwritten texts; photographic reproductions on sensitised paper and carbon copies of the foregoing.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value; stampimpressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of title.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490810,"Transfers (decalcomanias), vitrifiable",0103,"Wood, pulp, paper & furniture, finished manufactur"
490890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings.",0103,"Wood, pulp, paper & furniture, finished manufactur"
491000,"Calendars of any kind, printed, including calendar blocks.",0103,"Wood, pulp, paper & furniture, finished manufactur"
491110,"Trade advertising material, commercial catalogues and the like",0103,"Wood, pulp, paper & furniture, finished manufactur"
491191,"Pictures, designs and photographs",0103,"Wood, pulp, paper & furniture, finished manufactur"
491199,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
940110,Seats of a kind used for aircraft,0103,"Wood, pulp, paper & furniture, finished manufactur"
940120,Seats of a kind used for motor vehicles,0103,"Wood, pulp, paper & furniture, finished manufactur"
