HS 1996 Product Code,HS 1996 Product Description,CPC Product Code,CPC Product Description
021019,Meat of swine :-- Other,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021020,Meat of bovine animals,21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021090,"Other, including edible flours and meals of meat or meat offal",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
030110,Ornamental fish,0411,"Fish, live"
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0411,"Fish, live"
030192,Other live fish :-- Eels (Anguilla spp.),0411,"Fish, live"
030193,Other live fish :-- Carp,0411,"Fish, live"
030199,Other live fish :-- Other,0411,"Fish, live"
030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0412,"Fish, fresh or chilled"
030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa",0412,"Fish, fresh or chilled"
030219,"Salmonidae, excluding livers and roes :-- Other",0412,"Fish, fresh or chilled"
030221,"Salmonidae, excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0412,"Fish, fresh or chilled"
030222,"Salmonidae, excluding livers and roes :-- Plaice (Pleuronectes platessa)",0412,"Fish, fresh or chilled"
030223,"Salmonidae, excluding livers and roes :-- Sole (Solea spp.)",0412,"Fish, fresh or chilled"
030229,"Salmonidae, excluding livers and roes :-- Other",0412,"Fish, fresh or chilled"
030231,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",0412,"Fish, fresh or chilled"
030232,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",0412,"Fish, fresh or chilled"
030233,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or stripe-bellied bonito",0412,"Fish, fresh or chilled"
030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",0412,"Fish, fresh or chilled"
030240,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0412,"Fish, fresh or chilled"
030250,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0412,"Fish, fresh or chilled"
030261,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0412,"Fish, fresh or chilled"
030262,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",0412,"Fish, fresh or chilled"
030263,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",0412,"Fish, fresh or chilled"
030264,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0412,"Fish, fresh or chilled"
030265,"Other fish, excluding livers and roes :-- Dogfish and other sharks",0412,"Fish, fresh or chilled"
030266,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",0412,"Fish, fresh or chilled"
030269,"Other fish, excluding livers and roes :-- Other",0412,"Fish, fresh or chilled"
030270,Livers and roes,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
030310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030321,"Other salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030322,"Other salmonidae, excluding livers and roes :-- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030329,"Other salmonidae, excluding livers and roes :-- Other",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030331,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030332,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Plaice (Pleuronectes platessa)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030333,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Sole (Solea spp.)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030341,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030342,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030343,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or strip-bellied bonito",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030350,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030360,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030371,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030372,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030373,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030374,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030375,"Other fish, excluding livers and roes :- Other fish, excluding livers and roes :-- Dogfish and other sharks",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030376,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030377,"Other fish, excluding livers and roes :-- Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030378,"Other fish, excluding livers and roes :-- Hake (Merluccius spp., Urophycis spp.)",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030379,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030380,Livers and roes,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030410,Fresh or chilled,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
