HS 2007 Product Code,HS 2007 Product Description,CPC Product Code,CPC Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,02113,"Horses, asses, mules and hinnies, live"
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,02113,"Horses, asses, mules and hinnies, live"
010210,Live bovine animals: pure-bred breeding animals,02111,"Bovine cattle, live"
010290,Live bovine animals other than pure-bred breeding animals,02111,"Bovine cattle, live"
010310,Live swine: pure-bred breeding animals,02121,"Swine, live"
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",02121,"Swine, live"
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",02121,"Swine, live"
010410,Live sheep,02112,"Sheep and goats, live"
010420,Live goats,02112,"Sheep and goats, live"
010511,"Live fowls of species Gallus domesticus, weighing not >185g",02122,"Poultry, live"
010512,"Live turkeys, weighing not >185g",02122,"Poultry, live"
010519,"Live ducks/geese/guinea fowls, weighing not >185g",02122,"Poultry, live"
010594,"Live fowls of species Gallus domesticus, weighing > 185g",02122,"Poultry, live"
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",02122,"Poultry, live"
010611,Live primates,02129,Other live animals
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),02129,Other live animals
010619,"Live mammals, n.e.s.",02129,Other live animals
010620,"Live reptiles, incl. snakes & turtles",02129,Other live animals
010631,Live birds of prey,02129,Other live animals
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",02129,Other live animals
010639,Live birds (excl. of 0106.31 & 0106.32),02129,Other live animals
010690,"Live animals, n.e.s.",02129,Other live animals
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",21111,"Meat of bovine animals, fresh or chilled"
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",21111,"Meat of bovine animals, fresh or chilled"
020130,"Meat of bovine animals, fresh/chilled, boneless",21111,"Meat of bovine animals, fresh or chilled"
020210,"Carcasses/half-carcasses of bovine animals, frozen",21112,"Meat of bovine animals, frozen"
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",21112,"Meat of bovine animals, frozen"
020230,"Meat of bovine animals, frozen, boneless",21112,"Meat of bovine animals, frozen"
020311,"Carcasses/half-carcasses of swine, fresh/chilled",21113,"Meat of swine, fresh or chilled"
020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",21113,"Meat of swine, fresh or chilled"
020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",21113,"Meat of swine, fresh or chilled"
020321,"Carcasses/half-carcasses of swine, frozen",21114,"Meat of swine, frozen"
020322,"Hams, shoulders & cuts thereof , frozen, bone-in",21114,"Meat of swine, frozen"
020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",21114,"Meat of swine, frozen"
020410,"Carcasses/half-carcasses of lamb, fresh/chilled",21115,"Meat of sheep, fresh or chilled"
020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",21115,"Meat of sheep, fresh or chilled"
020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",21115,"Meat of sheep, fresh or chilled"
020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless",21115,"Meat of sheep, fresh or chilled"
020430,"Carcasses/half-carcasses of lamb, frozen",21116,"Meat of sheep, frozen"
020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen",21116,"Meat of sheep, frozen"
020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in",21116,"Meat of sheep, frozen"
020443,"Meat of sheep (excl. lamb), frozen, boneless",21116,"Meat of sheep, frozen"
020450,"Meat of goats, fresh/chilled/frozen",21117,"Meat of goats, fresh, chilled or frozen"
020500,"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen",21118,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"Edible offal of bovine animals, fresh/chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020621,"Tongues of bovine animals, frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020622,"Livers of bovine animals, frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020630,"Edible offal of swine, fresh/chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020641,"Livers of swine, frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020649,"Edible offal of swine (excl. liver), frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020680,"Edible offal, n.e.s., fresh/chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020690,"Edible offal, n.e.s., frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020711,"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020712,"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020713,"Cuts & edible offal of species Gallus domesticus, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020714,"Cuts & edible offal of species Gallus domesticus, frozen",21122,"Meat and edible offal of poultry, frozen"
020724,"Meat of turkeys, not cut in pieces, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020725,"Meat of turkeys, not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020726,"Cuts & edible offal of turkey, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020727,"Cuts & edible offal of turkey, frozen",21122,"Meat and edible offal of poultry, frozen"
020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen",21122,"Meat and edible offal of poultry, frozen"
020810,"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020830,"Meat & edible meat offal of primates, fresh/chilled/frozen",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020840,"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of manatees & dugongs (order Sirenia), fresh/chilled/frozen",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020850,"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/frozen",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",21611,"Fats of bovine animals, sheep, goats, pigs and poultry, raw or rendered"
021011,"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bone-in",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021012,"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021019,"Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cuts thereof ), salted/in brine/dried/smoked",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021020,"Meat of bovine animals, salted/in brine/dried/smoked",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021091,"Meat & edible meat offal of primates, salted/in brine/dried/smoked, incl. edible flours/meals",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021092,"Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manatees & dugongs (order Sirenia), salted/in brine/dried/smoked, incl. edible flours/meals",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021093,"Meat & edible meat offal of reptiles, incl. snakes & turtles, salted/in brine/dried/smoked, incl. edible flours/meals",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021099,"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edible flours/meals",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
030110,Live ornamental fish,0411,"Fish, live"
030191,"Live trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster)",0411,"Fish, live"
030192,Live eels (Anguilla spp.),0411,"Fish, live"
030193,Live carp,0411,"Fish, live"
030194,Live bluefin tunas (Thunnus thynnus),0411,"Fish, live"
030195,Live southern bluefin tunas (Thunnus maccoyii),0411,"Fish, live"
030199,"Live fish(excl. of 0301.10-0301.95),n.e.s.",0411,"Fish, live"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0412,"Fish, fresh or chilled"
030212,"Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0412,"Fish, fresh or chilled"
030219,"Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/other fish meat of 03.04/livers & roes), fresh/chilled",0412,"Fish, fresh or chilled"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0412,"Fish, fresh or chilled"
