HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
441131,Fibreboard of a density exceeding 0.35 g/cm3 but not exceeding 0.5 g/cm3 :-- Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441139,Fibreboard of a density exceeding 0.35 g/cm3 but not exceeding 0.5 g/cm3 :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441191,Other :-- Not mechanically worked or surface covered,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441199,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441213,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- With at least one outer ply of tropical wood specified in Subheading Note 1 to this Chapter",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441214,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- Other, with at least one outer ply of non-coniferous wood",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441219,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- Other",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441222,"Other, with at least one outer ply of non-coniferous wood :-- With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441223,"Other, with at least one outer ply of non-coniferous wood :-- Other, containing at least one layer of particle board",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441229,"Other, with at least one outer ply of non-coniferous wood :-- Other",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441292,Other :-- With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441293,"Other, containing at least one layer of particle board",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441299,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441300,"Densified wood, in blocks, plates, strips or profile shapes.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
450200,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip, (including sharp-edged blanks for corks or stoppers).",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480100,"Newsprint, in rolls or sheets.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480210,Hand-made paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480220,"Paper and paperboard of a kind used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper or paperboard",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480230,Carbonising base paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480240,Wallpaper base,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
