HS - Combined  Product Code,HS - Combined  Product Description,CPC Product Code,CPC Product Description
251020,Ground,1611,"Natural calcium phosphates, natural aluminum calcium phosphates and"
251110,Natural barium sulphate (barytes),1619,Other chemical minerals
251120,Natural barium carbonate (witherite),1619,Other chemical minerals
251200,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",1639,Other minerals n.e.c.
251311,"(-2006) Crude or in irregular pieces, including crushed pumice (bimskies)",1632,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural"
251319,(-2006) Other,1632,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural"
251320,"(1996-) Emery, natural corundum, natural garnet and other natural abrasives",1632,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural"
251321,"(-1995) Emery... and other natural abrasives, crud",1632,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural"
251329,"(-1995) Emery... and other natural abrasives, nes",1632,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural"
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",1511,Slate
251511,Crude or roughly trimmed,1512,Marble and other calcareous monumental or building stone
251512,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",1512,Marble and other calcareous monumental or building stone
251520,Ecaussine and other calcareous monumental or building stone; alabaster,1512,Marble and other calcareous monumental or building stone
251611,Crude or roughly trimmed,1513,"Granite, sandstone and other monumental or building stone"
251612,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",1513,"Granite, sandstone and other monumental or building stone"
251621,(-2006) Crude or roughly trimmed,1513,"Granite, sandstone and other monumental or building stone"
251622,"(-2006) Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",1513,"Granite, sandstone and other monumental or building stone"
251690,Other monumental or building stone,1513,"Granite, sandstone and other monumental or building stone"
251710,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heattreated",1532,"Pebbles, gravel, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder"
251720,"- Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",1532,"Pebbles, gravel, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder"
251730,Tarred macadam,1532,"Pebbles, gravel, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder"
251741,Of marble,1532,"Pebbles, gravel, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder"
251749,Other,1532,"Pebbles, gravel, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder"
251810,"Dolomite, not calcined or sintered",1633,Chalk and dolomite
251820,Calcined or sintered dolomite,1633,Chalk and dolomite
251830,Dolomite ramming mix,1633,Chalk and dolomite
251910,Natural magnesium carbonate (magnesite),1639,Other minerals n.e.c.
251990,Other,1639,Other minerals n.e.c.
252010,Gypsum; anhydrite,152,"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone,"
252020,Plasters,3741,Plasters
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement.",152,"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone,"
252210,Quicklime,3742,"Quicklime, slaked lime and hydraulic lime"
252220,Slaked lime,3742,"Quicklime, slaked lime and hydraulic lime"
252230,Hydraulic lime,3742,"Quicklime, slaked lime and hydraulic lime"
252310,Cement clinkers,3743,Cement clinkers
252321,"White cement, whether or not artificially coloured",3744,"Portland cement, aluminous cement, slag cement and similar hydraulic cements,"
252329,Other,3744,"Portland cement, aluminous cement, slag cement and similar hydraulic cements,"
252330,Aluminous cement,3744,"Portland cement, aluminous cement, slag cement and similar hydraulic cements,"
252390,Other hydraulic cements,3744,"Portland cement, aluminous cement, slag cement and similar hydraulic cements,"
252400,(-2006) Asbestos.,1639,Other minerals n.e.c.
252510,Crude mica and mica rifted into sheets or splittings,1639,Other minerals n.e.c.
252520,Mica powder,1639,Other minerals n.e.c.
252530,Mica waste,1639,Other minerals n.e.c.
252610,"Not crushed, not powdered",1639,Other minerals n.e.c.
252620,Crushed or powdered,1639,Other minerals n.e.c.
252700,(-2001) Natural cryolite; natural chiolite.,1619,Other chemical minerals
252810,Natural sodium borates and concentrates thereof (whether or not calcined),1619,Other chemical minerals
252890,Other,1619,Other chemical minerals
252910,Felspar,1639,Other minerals n.e.c.
252921,Containing by weight 97 % or less of calcium fluoride,1619,Other chemical minerals
252922,Containing by weight more than 97 % of calcium fluoride,1619,Other chemical minerals
252930,Leucite; nepheline and nepheline syenite,1639,Other minerals n.e.c.
253010,"Vermiculite, perlite and chlorites, unexpanded",1639,Other minerals n.e.c.
253020,"Kieserite, epsomite (natural magnesium sulphates)",1619,Other chemical minerals
253030,(-1995) Earth colours,1619,Other chemical minerals
253040,(-2001) Natural micaceous iron oxides,1619,Other chemical minerals
253090,Other,1619,Other chemical minerals
260111,Nonagglomerated,141,"Iron ores and concentrates, other than roasted iron pyrites"
260112,Agglomerated,141,"Iron ores and concentrates, other than roasted iron pyrites"
260120,Roasted iron pyrites,3453,Roasted iron pyrites
260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
260300,Copper ores and concentrates.,1421,Copper ores and concentrates
260400,Nickel ores and concentrates.,1422,Nickel ores and concentrates
260500,Cobalt ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
260600,Aluminium ores and concentrates.,1423,Aluminium ores and concentrates
260700,Lead ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
260800,Zinc ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
260900,Tin ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261000,Chromium ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261100,Tungsten ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261210,Uranium ores and concentrates,130,Uranium and thorium ores and concentrates
261220,Thorium ores and concentrates,130,Uranium and thorium ores and concentrates
261310,Roasted,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261390,Other,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261400,Titanium ores and concentrates.,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261510,Zirconium ores and concentrates,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261590,Other,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261610,Silver ores and concentrates,1424,Precious metal ores and concentrates
261690,Other,1424,Precious metal ores and concentrates
261710,Antimony ores and concentrates,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261790,Other,1429,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
261800,Granulated slag (slag sand) from the manufacture of iron or steel.,3931,"Slag, dross, scalings and other waste from the manufacture of iron or steel"
261900,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel.",3931,"Slag, dross, scalings and other waste from the manufacture of iron or steel"
262011,Hard zinc spelter,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262019,Other,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262020,(-2001) Containing mainly lead,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262021,(2002-) Leaded gasoline sludges and leaded antiknock compound sludges,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262029,(2002-) Other,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262030,Containing mainly copper,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262040,Containing mainly aluminium,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262050,(-2001) Containing mainly vanadium,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262060,"(2002-) Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262090,(-2001) Other,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262091,"(2002-) Containing antimony, beryllium, cadmium, chromium or their mixtures",3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262099,(2002-) Other,3932,"Ash and residue (except from the manufacture of iron or steel), containing metals or metallic"
262100,"(-2001) Other slag and ash, including seaweed ash (kelp).",1639,Other minerals n.e.c.
262110,(2002-) Ash and residues from the incineration of municipal waste,1639,Other minerals n.e.c.
262190,(2002-) Other,1639,Other minerals n.e.c.
270111,Anthracite,1101,"Coal, not agglomerated"
270112,Bituminous coal,1101,"Coal, not agglomerated"
270119,Other coal,1101,"Coal, not agglomerated"
270120,"Briquettes, ovoids and similar solid fuels manufactured from coal",1102,Briquettes and similar solid fuels manufactured from coal
270210,"Lignite, whether or not pulverised, but not agglomerated",1103,"Lignite, whether or not agglomerated"
270220,Agglomerated lignite,1103,"Lignite, whether or not agglomerated"
270300,"Peat (including peat litter), whether or not agglomerated.",1104,Peat
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon.",331,"Coke and semi-coke of coal, of lignite or of peat; retort carbon"
270500,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons.",172,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous"
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",332,"Tar distilled from coal, from lignite or from peat, and other mineral tars"
270710,Benzol (benzene),3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270720,Toluol (toluene),3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270730,Xylol (xylenes),3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270740,Naphthalene,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270750,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ASTM D 86 method,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270760,(-2006) Phenols,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270791,Creosote oils,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270799,Other,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270810,Pitch,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270820,Pitch coke,3454,"Oils and other products of the distillation of high temperature coal tar, and similar products;"
270900,"Petroleum oils and oils obtained from bituminous minerals, crude.",1201,"Petroleum oils and oils obtained from bituminous minerals, crude"
271000,(-2001) Petroleum oils and oils obtained from bituminous m,333,"Petroleum oils and oils obtained from bituminous materials, other than"
271011,(2002-) Light oils and preparations,333,"Petroleum oils and oils obtained from bituminous materials, other than"
271019,(2002-) Other,333,"Petroleum oils and oils obtained from bituminous materials, other than"
271091,"(2002-) Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",333,"Petroleum oils and oils obtained from bituminous materials, other than"
271099,(2002-) Other,333,"Petroleum oils and oils obtained from bituminous materials, other than"
271111,Natural gas,1202,"Natural gas, liquefied or in the gaseous state"
271112,Propane,3341,"Propane and butanes, liquefied"
271113,Butanes,3341,"Propane and butanes, liquefied"
271114,"Ethylene, propylene, butylene et butadiene",3342,"Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except"
271119,Other,3342,"Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except"
271121,Natural gas,1202,"Natural gas, liquefied or in the gaseous state"
271129,Other,3342,"Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except"
271210,Petroleum jelly,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271220,Paraffin wax containing by weight less than 0.75 % of oil,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271290,Other,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271311,Not calcined,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271312,Calcined,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271320,Petroleum bitumen,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271390,Other residues of petroleum oils or of oils obtained from bituminous minerals,335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax,"
271410,Bituminous or oil shale and tar sands,1203,Bituminous or oil shale and tar sands
271490,Other,1533,"Bitumen and asphalt, natural; asphaltites and asphaltic rock"
271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cutbacks).",3794,"Bituminous mixtures based on natural asphalt, on natural bitumen, on"
271600,Electrical energy. (optional heading),171,Electrical energy
280110,Chlorine,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280120,Iodine,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280130,Fluorine; bromine,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280200,"Sulphur, sublimed or precipitated; colloidal sulphur.",3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280300,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280410,Hydrogen,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
280421,Argon,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
280429,Other,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
280430,Nitrogen,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
280440,Oxygen,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
280450,Boron; tellurium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280461,Containing by weight not less than 99.99 % of silicon,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280469,Other,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280470,Phosphorus,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280480,Arsenic,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280490,Selenium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280511,Sodium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280512,(2002-) Calcium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280519,Other,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280521,(-2001) Alkaline-earth metals :-- Calcium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280522,(-2001) Alkaline-earth metals :-- Strontium and barium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280530,"Rareearth metals, scandium and yttrium, whether or not intermixed or interalloyed",3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280540,Mercury,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280610,Hydrogen chloride (hydrochloric acid),3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280620,Chlorosulphuric acid,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280700,Sulphuric acid; oleum.,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280800,Nitric acid; sulphonitric acids.,34611,Nitric acid; sulphonitric acids; ammonia
280910,Diphosphorus pentaoxide,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
280920,Phosphoric acid and polyphosphoric acids,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281000,Oxides of boron; boric acids.,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281111,Hydrogen fluoride (hydrofluoric acid),3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281119,Other,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281121,Carbon dioxide,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
281122,Silicon dioxide,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281123,(-2006) Sulphur dioxide,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281129,Other,3421,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic"
281210,Chlorides and chloride oxides,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281290,Other,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281310,Carbon disulphide,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281390,Other,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281410,Anhydrous ammonia,34611,Nitric acid; sulphonitric acids; ammonia
281420,Ammonia in aqueous solution,34611,Nitric acid; sulphonitric acids; ammonia
281511,Solid,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281512,In aqueous solution (soda lye or liquid soda),3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281520,Potassium hydroxide (caustic potash),3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281530,Peroxides of sodium or potassium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281610,Hydroxide and peroxide of magnesium,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281620,"(-2001) Oxide, hydroxide and peroxide of strontium",3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281630,"(-2001) Oxide, hydroxide and peroxide of barium",3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281640,"(2002-) Oxides, hydroxides and peroxides, of strontium or barium",3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281700,Zinc oxide; zinc peroxide.,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
281810,"Artificial corundum, whether or not chemically defined",3796,Artificial corundum
281820,"Aluminium oxide, other than artificial corundum",41432,"Alumina (aluminium oxide), except artificial corundum"
281830,Aluminium hydroxide,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
281910,Chromium trioxide,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
281990,Other,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282010,Manganese dioxide,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282090,Other,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282110,Iron oxides and hydroxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282120,Earth colours,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282200,Cobalt oxides and hydroxides; commercial cobalt oxides.,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282300,Titanium oxides.,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282410,"Lead monoxide (litharge, massicot)",3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282420,(-2006) Red lead and orange lead,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282490,Other,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282510,Hydrazine and hydroxylamine and their inorganic salts,3423,"Chemical elements, n.e.c.; inorganic acids except nitric and sulphonitric; inorganic oxygen"
282520,Lithium oxide and hydroxide,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282530,Vanadium oxides and hydroxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282540,Nickel oxides and hydroxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282550,Copper oxides and hydroxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282560,Germanium oxides and zirconium dioxide,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282570,Molybdenum oxides and hydroxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282580,Antimony oxides,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282590,    Other,3422,Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese
282611,(-2006) Of ammonium or of sodium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282612,Of aluminium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282619,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282620,(-2006) Fluorosilicates of sodium or of potassium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282630,Sodium hexafluoroaluminate (synthetic cryolite),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282690,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282710,Ammonium chloride,34612,Ammonium chloride; nitrites; nitrates of potassium; phosphates of triammonium; ammonium carbonates
282720,Calcium chloride,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282731,Of magnesium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282732,Of aluminium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282733,(-2006) Of iron,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282734,(-2006) Of cobalt,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282735,Of nickel,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282736,(-2006) Of zinc,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282737,(-1995) Tin chloride,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282738,(-2001) Other chlorides:-- Of barium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282739,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282741,Of copper,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282749,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282751,Bromides of sodium or of potassium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282759,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282760,Iodides and iodide oxides,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282810,Commercial calcium hypochlorite and other calcium hypochlorites,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282890,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282911,Of sodium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282919,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
282990,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283010,Sodium sulphides,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283020,(-2006) Zinc sulphide,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283030,(-2006) Cadmium sulphide,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283090,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283110,Of sodium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283190,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283210,Sodium sulphites,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283220,Other sulphites,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283230,Thiosulphates,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283311,Disodium sulphate,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283319,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283321,Of magnesium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283322,Of aluminium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283323,(-2006) Of chromium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283324,Of nickel,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283325,Of copper,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283326,(-2006) Of zinc,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283327,Of barium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283329,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283330,Alums,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283340,Peroxosulphates (persulphates),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283410,Nitrites,34612,Ammonium chloride; nitrites; nitrates of potassium; phosphates of triammonium; ammonium carbonates
283421,Of potassium,34612,Ammonium chloride; nitrites; nitrates of potassium; phosphates of triammonium; ammonium carbonates
283422,(-2001) Nitrates:-- Of bismuth,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283429,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283510,Phosphinates (hypophosphites) and phosphonates (phosphites),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283521,(-1995) Phosphates of triammonium,34612,Ammonium chloride; nitrites; nitrates of potassium; phosphates of triammonium; ammonium carbonates
283522,Of mono or disodium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283523,(-2006) Of trisodium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283524,Of potassium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283525,Calcium hydrogenorthophosphate (dicalcium phosphate),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283526,Other phosphates of calcium,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283529,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283531,Sodium triphosphate (sodium tripolyphosphate),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283539,Other,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283610,(-2006) Commercial ammonium carbonate and other ammonium carbonates,34612,Ammonium chloride; nitrites; nitrates of potassium; phosphates of triammonium; ammonium carbonates
283620,Disodium carbonate,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283630,Sodium hydrogencarbonate (sodium bicarbonate),3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283640,Potassium carbonates,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283650,Calcium carbonate,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
283660,Barium carbonate,3424,Salts and peroxysalts of inorganic acids and metals n.e.c.;
