HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
251329,"Emery... and other natural abrasives, nes",21,Primary
251400,"Slate, crude, roughly trimmed or merely cut",21,Primary
251511,Marble and travertine crude or roughly trimmed,21,Primary
251512,Marble and travertine merely cut into a square,21,Primary
251520,Ecaussine and other calcarcous building stone;,21,Primary
251611,"Granite, crude or roughly trimmed",21,Primary
251612,"Granite, merely cut into a square or rectangula",21,Primary
251621,"Sandstone, crude or roughly trimmed",21,Primary
251622,"Sandstone, merely cut into a square or rectangu",21,Primary
251690,"Porphyry, sylnite, etc, merely cut into a squar",21,Primary
251710,"Pebbles, gravel, shingle and flint",21,Primary
251720,"Macadam of slag, dross or similar industrial wa",21,Primary
251730,Tarred macadam,21,Primary
251741,"Marble granules, chippings and powder",21,Primary
251749,"Granules, chippings and powder of stones (excl.",21,Primary
251810,Dolomite not calcined,21,Primary
251820,Calcined dolomite,21,Primary
251830,Agglomerated dolomite (incl. tarred dolomite),21,Primary
251910,Natural magnesium carbonate (magnesite),21,Primary
251990,Magnesia and other magnesium oxide,21,Primary
252010,Gypsum; anhydrite,21,Primary
252100,Limestone flux; limestone and other calcareous,21,Primary
252400,Asbestos,21,Primary
252510,Crude mica and mica rifted into sheets or split,21,Primary
252520,Mica powder,21,Primary
252530,Mica waste,21,Primary
252610,"Natural steatite, talc, not crushed or powdered",21,Primary
252620,"Natural steatite, talc, crushed or powdered",21,Primary
252700,Natural cryolite; natural chiolite,21,Primary
252810,Natural sodium borates and concentrates thereof,21,Primary
252890,Natural borates (excl. sodium) and concentrates,21,Primary
252910,Felspar,21,Primary
252921,Fluorspar containing by weight <=97% of calcium,21,Primary
252922,Fluorspar containing by weight >97% of calcium,21,Primary
252930,Leucite nepheline and nepheline syenite,21,Primary
253010,"Vermiculite, perlite and chlorites (unexpanded)",21,Primary
253020,"Kieserite, epsomite (natural magnesium sulphate",21,Primary
253030,Earth colours,21,Primary
253040,Natural micaceous iron oxides,21,Primary
253090,"Other mineral substances, nes",21,Primary
260111,Non-agglomerated iron ores and concentrates,21,Primary
260112,Agglomerated iron ores and concentrates,21,Primary
260120,Roasted iron pyrites,21,Primary
260200,"Manganese ores and concentrates, with a mangane",21,Primary
260300,Copper ores and concentrates,21,Primary
260400,Nickel ores and concentrates,21,Primary
260500,Cobalt ores and concentrates,21,Primary
260600,Aluminium ores and concentrates,21,Primary
260700,Lead ores and concentrates,21,Primary
260800,Zinc ores and concentrates,21,Primary
260900,Tin ores and concentrates,21,Primary
261000,Chromium ores and concentrates,21,Primary
261100,Tungsten ores and concentrates,21,Primary
261210,Uranium ores and concentrates,21,Primary
261220,Thorium ores and concentrates,21,Primary
261310,Roasted molybdenum ores and concentrates,21,Primary
261390,Molybdenum ores and concentrates (excl. roasted,21,Primary
261400,Titanium ores and concentrates,21,Primary
261510,Zirconium ores and concentrates,21,Primary
261590,"Niobium, tantalum and vanadium ores and concent",21,Primary
261610,Silver ores and concentrates,21,Primary
261690,Precious metal ores and concentrates (excl. sil,21,Primary
261710,Antimony ores and concentrates,21,Primary
261790,"Other ores and concentrates, nes",21,Primary
261800,Granulated slag (slag sand) from the manufactur,21,Primary
261900,"Slag, dross, etc, from the manufacture of iron",21,Primary
