HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
020820,(-2006) Frogs' legs,0204,"Other meat nes fresh,etc"
020830,(2002-) Of primates,0204,"Other meat nes fresh,etc"
020840,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",0204,"Other meat nes fresh,etc"
020850,(2002-) Of reptiles (including snakes and turtles),0204,"Other meat nes fresh,etc"
020890,Other,0204,"Other meat nes fresh,etc"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",0205,"Pig,poultry fat not rendered"
021011,"Hams, shoulders and cuts thereof, with bone in",0206A,"Pig meat dried,salted,smoked"
021012,Bellies (streaky) and cuts thereof,0206A,"Pig meat dried,salted,smoked"
021019,Other,0206A,"Pig meat dried,salted,smoked"
021020,Meat of bovine animals,0206B,"Meat nes dried,salted,smoked"
021090,"(-2001) Other, including edible flours and meals of meat o",1602,"Other prepared,presrved meat"
021091,(2002-) Of primates,1602,"Other prepared,presrved meat"
021092,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of  manatees and dugongs (mammals of the order Sirenia)",1602,"Other prepared,presrved meat"
021093,(2002-) Of reptiles (including snakes and turtles),1602,"Other prepared,presrved meat"
021099,(2002-) Other,1602,"Other prepared,presrved meat"
030110,Ornamental fish,0301A,"Fish fresh,chilled,excluding fillets"
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301A,"Fish fresh,chilled,excluding fillets"
030192,Eels (Anguilla spp.),0301A,"Fish fresh,chilled,excluding fillets"
030193,Carp,0301A,"Fish fresh,chilled,excluding fillets"
030199,Other,0301A,"Fish fresh,chilled,excluding fillets"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301A,"Fish fresh,chilled,excluding fillets"
030212,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",0301A,"Fish fresh,chilled,excluding fillets"
030219,Other,0301A,"Fish fresh,chilled,excluding fillets"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0301A,"Fish fresh,chilled,excluding fillets"
030222,Plaice (Pleuronectes platessa),0301A,"Fish fresh,chilled,excluding fillets"
030223,Sole (Solea spp.),0301A,"Fish fresh,chilled,excluding fillets"
030229,Other,0301A,"Fish fresh,chilled,excluding fillets"
030231,Albacore or longfinned tunas (Thunnus alalunga),0301A,"Fish fresh,chilled,excluding fillets"
030232,Yellowfin tunas (Thunnus albacares),0301A,"Fish fresh,chilled,excluding fillets"
030233,Skipjack or stripebellied bonito,0301A,"Fish fresh,chilled,excluding fillets"
030234,(2002-) Bigeye tunas (Thunnus obesus),0301A,"Fish fresh,chilled,excluding fillets"
030235,(2002-) Bluefin tunas (Thunnus thynnus),0301A,"Fish fresh,chilled,excluding fillets"
030236,(2002-) Southern bluefin tunas (Thunnus maccoyii),0301A,"Fish fresh,chilled,excluding fillets"
030239,Other,0301A,"Fish fresh,chilled,excluding fillets"
030240,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0301A,"Fish fresh,chilled,excluding fillets"
030250,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0301A,"Fish fresh,chilled,excluding fillets"
030261,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0301A,"Fish fresh,chilled,excluding fillets"
030262,Haddock (Melanogrammus aeglefinus),0301A,"Fish fresh,chilled,excluding fillets"
030263,Coalfish (Pollachius virens),0301A,"Fish fresh,chilled,excluding fillets"
030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0301A,"Fish fresh,chilled,excluding fillets"
030265,Dogfish and other sharks,0301A,"Fish fresh,chilled,excluding fillets"
030266,Eels (Anguilla spp.),0301A,"Fish fresh,chilled,excluding fillets"
030269,Other,0301A,"Fish fresh,chilled,excluding fillets"
030270,Livers and roes,0301A,"Fish fresh,chilled,excluding fillets"
030310,"(-2001) Pacific salmon (Oncorhynchus nerka, Oncorhynchus g",0301B,"Fish frozen,excluding fillets"
030311,(2002-) Sockeye salmon (red salmon) (Oncorhynchus nerka),0301B,"Fish frozen,excluding fillets"
030319,(2002-) Other,0301B,"Fish frozen,excluding fillets"
030321,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301B,"Fish frozen,excluding fillets"
030322,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),0301B,"Fish frozen,excluding fillets"
030329,Other,0301B,"Fish frozen,excluding fillets"
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0301B,"Fish frozen,excluding fillets"
030332,Plaice (Pleuronectes platessa),0301B,"Fish frozen,excluding fillets"
030333,Sole (Solea spp.),0301B,"Fish frozen,excluding fillets"
030339,Other,0301B,"Fish frozen,excluding fillets"
030341,Albacore or longfinned tunas (Thunnus alalunga),0301B,"Fish frozen,excluding fillets"
030342,Yellowfin tunas (Thunnus albacares),0301B,"Fish frozen,excluding fillets"
030343,Skipjack or stripbellied bonito,0301B,"Fish frozen,excluding fillets"
030344,(2002-) Bigeye tunas (Thunnus obesus),0301B,"Fish frozen,excluding fillets"
030345,(2002-) Bluefin tunas (Thunnus thynnus),0301B,"Fish frozen,excluding fillets"
030346,(2002-) Southern bluefin tunas (Thunnus maccoyii),0301B,"Fish frozen,excluding fillets"
030349,Other,0301B,"Fish frozen,excluding fillets"
030350,"(-2006) Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0301B,"Fish frozen,excluding fillets"
030360,"(-2006) Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0301B,"Fish frozen,excluding fillets"
030371,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0301B,"Fish frozen,excluding fillets"
030372,Haddock (Melanogrammus aeglefinus),0301B,"Fish frozen,excluding fillets"
030373,Coalfish (Pollachius virens),0301B,"Fish frozen,excluding fillets"
030374,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0301B,"Fish frozen,excluding fillets"
030375,Dogfish and other sharks,0301B,"Fish frozen,excluding fillets"
030376,Eels (Anguilla spp.),0301B,"Fish frozen,excluding fillets"
030377,"Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",0301B,"Fish frozen,excluding fillets"
030378,"Hake (Merluccius spp., Urophycis spp.)",0301B,"Fish frozen,excluding fillets"
030379,Other,0301B,"Fish frozen,excluding fillets"
030380,Livers and roes,0301D,"Fish fillets,frozen"
030410,(-2006) Fresh or chilled,0301C,"Fish fillets,fresh,chilled"
030420,(-2006) Frozen fillets,0301D,"Fish fillets,frozen"
030490,(-2006) Other,0301B,"Fish frozen,excluding fillets"
030510,"Flours, meals and pellets of fish, fit for human consumption",0302A,Fish meal fit for food
030520,"Livers and roes of fish, dried, smoked, salted or in brine",0302B,Cod(not in fillets)dried
030530,"Fish fillets, dried, salted or in brine, but not smoked",0302C,"Fish(excluding cod),salted"
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",0302D,Fish smoked
030542,"Herrings (Clupea harengus, Clupea pallasii)",0302D,Fish smoked
030549,Other,0302D,Fish smoked
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0302B,Cod(not in fillets)dried
030559,Other,0302C,"Fish(excluding cod),salted"
030561,"Herrings (Clupea harengus, Clupea pallasii)",0302C,"Fish(excluding cod),salted"
030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0302C,"Fish(excluding cod),salted"
030563,Anchovies (Engraulis spp.),0302C,"Fish(excluding cod),salted"
030569,Other,0302C,"Fish(excluding cod),salted"
030611,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",0303,"Shell fish fresh,frozen"
030612,Lobsters (Homarus spp.),0303,"Shell fish fresh,frozen"
030613,Shrimps and prawns,0303,"Shell fish fresh,frozen"
030614,Crabs,0303,"Shell fish fresh,frozen"
030619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",0303,"Shell fish fresh,frozen"
030621,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",0303,"Shell fish fresh,frozen"
030622,Lobsters (Homarus spp.),0303,"Shell fish fresh,frozen"
030623,Shrimps and prawns,0303,"Shell fish fresh,frozen"
030624,Crabs,0303,"Shell fish fresh,frozen"
030629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",0303,"Shell fish fresh,frozen"
030710,Oysters,0303,"Shell fish fresh,frozen"
030721,"Live, fresh or chilled",0303,"Shell fish fresh,frozen"
030729,Other,0303,"Shell fish fresh,frozen"
030731,"Live, fresh or chilled",0303,"Shell fish fresh,frozen"
030739,Other,0303,"Shell fish fresh,frozen"
030741,"Live, fresh or chilled",0303,"Shell fish fresh,frozen"
030749,Other,0303,"Shell fish fresh,frozen"
030751,"Live, fresh or chilled",0303,"Shell fish fresh,frozen"
030759,Other,0303,"Shell fish fresh,frozen"
030760,"Snails, other than sea snails",0204,"Other meat nes fresh,etc"
030791,"Live, fresh or chilled",0303,"Shell fish fresh,frozen"
030799,Other,0303,"Shell fish fresh,frozen"
040110,"Of a fat content, by weight, not exceeding 1 %",0401,"Milk and cream, fresh"
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding     6 %",0401,"Milk and cream, fresh"
040130,"Of a fat content, by weight, exceeding 6 %",0401,"Milk and cream, fresh"
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",0402B,"Milk dry,1.5% fat or les"
040221,Not containing added sugar or other sweetening matter,0402C,"Milk dry,over 1.5% fat"
040229,Other,0402C,"Milk dry,over 1.5% fat"
040291,Not containing added sugar or other sweetening matter,0402D,"Milk(excluding dry) preserved,sweet"
040299,Other,0402D,"Milk(excluding dry) preserved,sweet"
040310,Yogurt,0401,"Milk and cream, fresh"
040390,Other,0401,"Milk and cream, fresh"
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",0402A,Whey
040490,Other,0402D,"Milk(excluding dry) preserved,sweet"
040500,(-1995) Butter and other fats and oils derived fro,0403,Butter
040510,(1996-) Butter,0403,Butter
040520,(1996-) Dairy spreads,0403,Butter
040590,(1996-) Other,0403,Butter
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",0404,Cheese and curd
040620,"Grated or powdered cheese, of all kinds",0404,Cheese and curd
040630,"Processed cheese, not grated or powdered",0404,Cheese and curd
040640,Blueveined cheese,0404,Cheese and curd
040690,Other cheese,0404,Cheese and curd
040700,"Birds' eggs, in shell, fresh, preserved or cooked.",0405A,"Eggs,birds,fresh,preserved-- in shell"
040811,Dried,0405B,"Eggs,birds,fresh,preserved -- not in shell"
040819,Other,0405B,"Eggs,birds,fresh,preserved -- not in shell"
040891,Dried,0405B,"Eggs,birds,fresh,preserved -- not in shell"
040899,Other,0405B,"Eggs,birds,fresh,preserved -- not in shell"
040900,Natural honey.,0406,Natural honey
041000,"Edible products of animal origin, not elsewhere specified or included.",0407,Edible animals products  nes
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",0501,"Human hair,unworked,etc"
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",0502,"Brush-making hair,etc"
050290,Other,0502,"Brush-making hair,etc"
050300,"(-2006) Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",0503,"Horsehair uncombed,waste"
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",0504,"Gut,bladders,etc nonfish"
050510,Feathers of a kind used for stuffing; down,0507,"Birds skins,feathers,etc"
050590,Other,0507,"Birds skins,feathers,etc"
050610,Ossein and bones treated with acid,0508,"Bone,horn-core and waste"
050690,Other,0508,"Bone,horn-core and waste"
050710,Ivory; ivory powder and waste,0509,"Ivory,tortoise-shell etc"
050790,Other,0509,"Ivory,tortoise-shell etc"
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof.",0512,"Coral,shell and waste"
050900,(-2006) Natural sponges of animal origin.,0513,Natural sponges
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",0514,"Ambergris,civet,musk,etc"
051110,Bovine semen,0515,Animal products n.e.s
051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",0505,Fish waste
051199,Other,0515,Animal products n.e.s
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",0601,"Bulbs,tubers,corms,etc"
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",0601,"Bulbs,tubers,corms,etc"
060210,Unrooted cuttings and slips,0602,Other live plants
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",0602,Other live plants
060230,"Rhododendrons and azaleas, grafted or not",0602,Other live plants
060240,"Roses, grafted or not",0602,Other live plants
060290,(1996-) Other,0602,Other live plants
