HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
284410,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",2850,Radioactive elements etc
284420,"Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products",2850,Radioactive elements etc
284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products",8104A,"Uranium,thorium,alloys"
284440,"Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",2850,Radioactive elements etc
284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,2850,Radioactive elements etc
284510,Heavy water (deuterium oxide),2851,Stable isotopes etc
284590,Other,2851,Stable isotopes etc
284610,Cerium compounds,2852,Compounds of thorium etc.
284690,Other,2852,Compounds of thorium etc.
284700,"Hydrogen peroxide, whether or not solidified with urea.",2854,Hydrogen peroxide
284800,"(1996-) Phosphides, whether or not chemically defined, excluding ferrophosphorus.",2855,Phosphides
284810,"(-1995) Phosphides of copper (phosphor copper), co",2855,Phosphides
284890,"(-1995) Phosphides of other metals, nes, or of non",2855,Phosphides
284910,Of calcium,2856A,Calcium carbide
284920,Of silicon,2856B,"Carbides,excluding calcium"
284990,Other,2856B,"Carbides,excluding calcium"
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49.",2857,"Hydrides, nitrides and azides"
285100,"(-2006) Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals.",2858,Other inorganic compounds n.e.s.
290110,Saturated,2901D,Other acyclic hydrocarbons
290121,Ethylene,2901A,Ethylene
290122,Propene (propylene),2901B,Propylene
290123,Butene (butylene) and isomers thereof,2901C,"Butylenes,butadienes etc"
290124,"Buta1,3diene and isoprene",2901C,"Butylenes,butadienes etc"
290129,Other,2901D,Other acyclic hydrocarbons
290211,Cyclohexane,2901E,Cyclohexane
290219,Other,2901K,Other cyclic hydrocarbons
290220,Benzene,2901F,"Benzene,chemically pure"
290230,Toluene,2901G,"Toluene,chemically pure"
290241,oXylene,2901H,"Xylenes,chemically pure"
290242,mXylene,2901H,"Xylenes,chemically pure"
290243,pXylene,2901H,"Xylenes,chemically pure"
290244,Mixed xylene isomers,2901H,"Xylenes,chemically pure"
290250,Styrene,2901I,Styrene
290260,Ethylbenzene,2901J,Ethylbenzene
290270,Cumene,2901K,Other cyclic hydrocarbons
290290,Other,2901K,Other cyclic hydrocarbons
290311,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),2902D,Other halogenated hydrcarbons derivatives
290312,Dichloromethane (methylene chloride),2902D,Other halogenated hydrcarbons derivatives
290313,Chloroform (trichloromethane),2902D,Other halogenated hydrcarbons derivatives
290314,Carbon tetrachloride,2902D,Other halogenated hydrcarbons derivatives
290315,"1,2Dichloroethane (ethylene dichloride)",2902D,Other halogenated hydrcarbons derivatives
290316,(-2001) Saturated chlorinated derivatives of acyclic hydro,2902D,Other halogenated hydrcarbons derivatives
290319,Other,2902D,Other halogenated hydrcarbons derivatives
290321,Vinyl chloride (chloroethylene),2902A,Vinyl chloride
290322,Trichloroethylene,2902B,Trichloroethylene
290323,Tetrachloroethylene (perchloroethylene),2902C,Tetrachloroethylene
290329,Other,2902D,Other halogenated hydrcarbons derivatives
290330,"(-2006) Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons",2902D,Other halogenated hydrcarbons derivatives
290340,(-1995) Halogenated derivatives of acyclic hydroca,2902D,Other halogenated hydrcarbons derivatives
290341,(1996-) Trichlorofluoromethane,2902D,Other halogenated hydrcarbons derivatives
290342,(1996-) Dichlorodifluoromethane,2902D,Other halogenated hydrcarbons derivatives
290343,(1996-) Trichlorotrifluoroethanes,2902D,Other halogenated hydrcarbons derivatives
290344,(1996-) Dichlorotetrafluoroethanes and chloropentafluoroethane,2902D,Other halogenated hydrcarbons derivatives
290345,(1996-) Other derivatives perhalogenated only with fluorine and chlorine,2902D,Other halogenated hydrcarbons derivatives
290346,"(1996-) Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",2902D,Other halogenated hydrcarbons derivatives
290347,(1996-) Other perhalogenated derivatives,2902D,Other halogenated hydrcarbons derivatives
290349,(1996-) Other,2902D,Other halogenated hydrcarbons derivatives
290351,"1,2,3,4,5,6Hexachlorocyclohexane",2902D,Other halogenated hydrcarbons derivatives
290359,Other,2902D,Other halogenated hydrcarbons derivatives
290361,"Chlorobenzene, odichlorobenzene and pdichlorobenzene",2902D,Other halogenated hydrcarbons derivatives
290362,"Hexachlorobenzene and DDT (1,1,1trichloro2,2bis(pchlorophenyl)ethane)",2902D,Other halogenated hydrcarbons derivatives
290369,Other,2902D,Other halogenated hydrcarbons derivatives
290410,"Derivatives containing only sulpho groups, their salts and ethyl esters",2903,Hydrocarbons derivative nonhalogenated
290420,Derivatives containing only nitro or only nitroso groups,2903,Hydrocarbons derivative nonhalogenated
290490,Other,2903,Hydrocarbons derivative nonhalogenated
290511,Methanol (methyl alcohol),2904A,Methyl alcohol(methanol)
290512,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),2904B,Propanols
290513,Butan-1-ol (n-butyl alcohol),2904C,Butyl alcohols(butanols)
290514,Other butanols,2904C,Butyl alcohols(butanols)
290515,(-2006) Pentanol (amyl alcohol) and isomers thereof,2904F,"Acyclic alcohols nes,derivatives"
290516,Octanol (octyl alcohol) and isomers thereof,2904D,Octyl alcohols(octanols)
290517,"Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)",2904F,"Acyclic alcohols nes,derivatives"
290519,Other,2904F,"Acyclic alcohols nes,derivatives"
290521,(-1995) Allyl alcohol,2904F,"Acyclic alcohols nes,derivatives"
290522,Acyclic terpene alcohols,2904F,"Acyclic alcohols nes,derivatives"
290529,Other,2904F,"Acyclic alcohols nes,derivatives"
290531,Ethylene glycol (ethanediol),2904E,Ethylene glycol(ethndls)
290532,"Propylene glycol (propane-1,2-diol)",2904F,"Acyclic alcohols nes,derivatives"
290539,Other,2904F,"Acyclic alcohols nes,derivatives"
290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)",2904F,"Acyclic alcohols nes,derivatives"
290542,Pentaerythritol,2904F,"Acyclic alcohols nes,derivatives"
290543,Mannitol,2904F,"Acyclic alcohols nes,derivatives"
290544,D-glucitol (sorbitol),2904F,"Acyclic alcohols nes,derivatives"
290545,(1996-) Glycerol,1511,"Glycerol,glycerol lyes"
290549,Other,2904F,"Acyclic alcohols nes,derivatives"
290550,"(-2001) Halogenated, sulphonated, nitrated or nitrosated d",2904F,"Acyclic alcohols nes,derivatives"
290551,(2002-) Ethchlorvynol (INN),2904F,"Acyclic alcohols nes,derivatives"
290559,(2002-) Other,2904F,"Acyclic alcohols nes,derivatives"
290611,Menthol,2905,"Cyclic alcohols,derivatives"
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",2905,"Cyclic alcohols,derivatives"
290613,Sterols and inositols,2905,"Cyclic alcohols,derivatives"
290614,(-2006) Terpineols,2905,"Cyclic alcohols,derivatives"
290619,Other,2905,"Cyclic alcohols,derivatives"
290621,Benzyl alcohol,2905,"Cyclic alcohols,derivatives"
290629,Other,2905,"Cyclic alcohols,derivatives"
290711,Phenol (hydroxybenzene) and its salts,2906A,"Phenol pure,its salts"
290712,Cresols and their salts,2906B,"Cresols,nes,their salts"
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",2906C,Other phenols and phenol-alcohols
290714,(-2006) Xylenols and their salts,2906C,Other phenols and phenol-alcohols
290715,Naphthols and their salts,2906C,Other phenols and phenol-alcohols
290719,Other,2906C,Other phenols and phenol-alcohols
290721,Resorcinol and its salts,2906C,Other phenols and phenol-alcohols
290722,Hydroquinone (quinol) and its salts,2906C,Other phenols and phenol-alcohols
290723,"4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",2906C,Other phenols and phenol-alcohols
290729,Other,2906C,Other phenols and phenol-alcohols
290730,(-2001) Phenol-alcohols,2906C,Other phenols and phenol-alcohols
290810,(-2006) Derivatives containing only halogen substituents and their salts,2907,Halogenated derivatives
290820,"(-2006) Derivatives containing only sulpho groups, their salts and esters",2907,Halogenated derivatives
290890,(-2006) Other,2907,Halogenated derivatives
290911,Diethyl ether,2908,"Ethers,ether-alcohol,etc"
290919,Other,2908,"Ethers,ether-alcohol,etc"
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2908,"Ethers,ether-alcohol,etc"
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2908,"Ethers,ether-alcohol,etc"
290941,"2,2'-Oxydiethanol (diethylene glycol, digol)",2908,"Ethers,ether-alcohol,etc"
290942,(-2006) Monomethyl ethers of ethylene glycol or of diethylene glycol,2908,"Ethers,ether-alcohol,etc"
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,2908,"Ethers,ether-alcohol,etc"
290944,Other monoalkylethers of ethylene glycol or of diethylene glycol,2908,"Ethers,ether-alcohol,etc"
290949,Other,2908,"Ethers,ether-alcohol,etc"
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",2908,"Ethers,ether-alcohol,etc"
290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",2908,"Ethers,ether-alcohol,etc"
291010,Oxirane (ethylene oxide),2909A,Ethylene oxide(oxirane)
291020,Methyloxirane (propylene oxide),2909B,Propylene oxide
291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)",2909C,Other epoxides etc
291090,Other,2909C,Other epoxides etc
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",2910,Acetals and derivatives
291211,Methanal (formaldehyde),2911,Oxygen-function aldehyde
291212,Ethanal (acetaldehyde),2911,Oxygen-function aldehyde
291213,"(-2006) Butanal (butyraldehyde, normal isomer)",2911,Oxygen-function aldehyde
291219,Other,2911,Oxygen-function aldehyde
291221,Benzaldehyde,2911,Oxygen-function aldehyde
291229,Other,2911,Oxygen-function aldehyde
291230,Aldehyde-alcohols,2911,Oxygen-function aldehyde
291241,Vanillin (4hydroxy3methoxybenzaldehyde),2911,Oxygen-function aldehyde
291242,Ethylvanillin (3ethoxy4hydroxybenzaldehyde),2911,Oxygen-function aldehyde
291249,Other,2911,Oxygen-function aldehyde
291250,Cyclic polymers of aldehydes,2911,Oxygen-function aldehyde
291260,Paraformaldehyde,2911,Oxygen-function aldehyde
291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.",2912,"Halogenated, sulphonated derivatives"
291411,Acetone,2913A,Acetone
291412,Butanone (methyl ethyl ketone),2913B,Ethyl methyl ketone
291413,4-Methylpentan-2-one (methyl isobutyl ketone),2913C,"Other ketones etc,derivatives"
291419,Other,2913C,"Other ketones etc,derivatives"
291421,Camphor,2913C,"Other ketones etc,derivatives"
291422,Cyclohexanone and methylcyclohexanones,2913C,"Other ketones etc,derivatives"
291423,Ionones and methylionones,2913C,"Other ketones etc,derivatives"
291429,Other,2913C,"Other ketones etc,derivatives"
291430,(-1995) Aromatic ketones without oxygen function,2913C,"Other ketones etc,derivatives"
291431,(1996-) Phenylacetone (phenylpropan2one),2913C,"Other ketones etc,derivatives"
291439,(1996-) Other,2913C,"Other ketones etc,derivatives"
291440,(1996-) Ketonealcohols and ketonealdehydes,2913C,"Other ketones etc,derivatives"
291441,(-1995) 4-Hydroxy-4-methylpentan-2-one (diacetone ,2913C,"Other ketones etc,derivatives"
291449,(-1995) Ketone-alcohols and ketone-aldehydes (excl,2913C,"Other ketones etc,derivatives"
291450,Ketone-phenols and ketones with other oxygen function,2913C,"Other ketones etc,derivatives"
291461,Anthraquinone,2913C,"Other ketones etc,derivatives"
291469,Other,2913C,"Other ketones etc,derivatives"
291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives",2913C,"Other ketones etc,derivatives"
291511,Formic acid,2914D,"Other monoacids etc,derivatives"
291512,Salts of formic acid,2914D,"Other monoacids etc,derivatives"
291513,Esters of formic acid,2914D,"Other monoacids etc,derivatives"
291521,Acetic acid,2914A,"Acetic acid,its salts"
291522,(-2006) Sodium acetate,2914A,"Acetic acid,its salts"
291523,(-2006) Cobalt acetates,2914A,"Acetic acid,its salts"
291524,Acetic anhydride,2914D,"Other monoacids etc,derivatives"
291529,Other,2914A,"Acetic acid,its salts"
291531,Ethyl acetate,2914B,Esters of acetic acid
291532,Vinyl acetate,2914B,Esters of acetic acid
291533,n-Butyl acetate,2914B,Esters of acetic acid
291534,(-2006) Isobutyl acetate,2914B,Esters of acetic acid
291535,(-2006) 2-Ethoxyethyl acetate,2914B,Esters of acetic acid
291539,Other,2914B,Esters of acetic acid
291540,"Mono-, di- or trichloroacetic acids, their salts and esters",2914D,"Other monoacids etc,derivatives"
291550,"Propionic acid, its salts and esters",2914D,"Other monoacids etc,derivatives"
291560,"Butanoic acids, pentanoic acids, their salts and esters",2914D,"Other monoacids etc,derivatives"
291570,"Palmitic acid, stearic acid, their salts and esters",2914D,"Other monoacids etc,derivatives"
291590,Other,2914D,"Other monoacids etc,derivatives"
291611,Acrylic acid and its salts,2914D,"Other monoacids etc,derivatives"
291612,Esters of acrylic acid,2914D,"Other monoacids etc,derivatives"
291613,Methacrylic acid and its salts,2914C,"Methacrylic acid,etc"
291614,Esters of methacrylic acid,2914C,"Methacrylic acid,etc"
291615,"Oleic, linoleic or linolenic acids, their salts and esters",2914D,"Other monoacids etc,derivatives"
291619,Other,2914D,"Other monoacids etc,derivatives"
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",2914D,"Other monoacids etc,derivatives"
291631,"Benzoic acid, its salts and esters",2914D,"Other monoacids etc,derivatives"
291632,Benzoyl peroxide and benzoyl chloride,2914D,"Other monoacids etc,derivatives"
291633,"(-1995) Phenylacetic acid, its salts and esters",2914D,"Other monoacids etc,derivatives"
291634,(1996-) Phenylacetic acid and its salts,2914D,"Other monoacids etc,derivatives"
291635,(1996-) Esters of phenylacetic acid,2914D,"Other monoacids etc,derivatives"
291639,Other,2914D,"Other monoacids etc,derivatives"
291711,"Oxalic acid, its salts and esters",2915E,"Other polyacids etc,derivatives"
291712,"Adipic acid, its salts and esters",2915E,"Other polyacids etc,derivatives"
291713,"Azelaic acid, sebacic acid, their salts and esters",2915E,"Other polyacids etc,derivatives"
291714,Maleic anhydride,2915A,Maleic anhydride
291719,Other,2915E,"Other polyacids etc,derivatives"
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",2915E,"Other polyacids etc,derivatives"
291731,(-2006) Dibutyl orthophthalates,2915E,"Other polyacids etc,derivatives"
291732,Dioctyl orthophthalates,2915C,Dioctyl orthophthalates
291733,Dinonyl or didecyl orthophthalates,2915E,"Other polyacids etc,derivatives"
291734,Other esters of orthophthalic acid,2915E,"Other polyacids etc,derivatives"
291735,Phthalic anhydride,2915B,Phthalic anhydride
291736,Terephthalic acid and its salts,2915E,"Other polyacids etc,derivatives"
291737,Dimethyl terephthalate,2915D,Terephthalic acid esters
291739,Other,2915E,"Other polyacids etc,derivatives"
291811,"Lactic acid, its salts and esters",2916,Oxygen-function carboxylic acids
291812,Tartaric acid,2916,Oxygen-function carboxylic acids
291813,Salts and esters of tartaric acid,2916,Oxygen-function carboxylic acids
291814,Citric acid,2916,Oxygen-function carboxylic acids
291815,Salts and esters of citric acid,2916,Oxygen-function carboxylic acids
291816,"Gluconic acid, its salts and esters",2916,Oxygen-function carboxylic acids
291817,(-2001) Carboxylic acids with alcohol function but without,2916,Oxygen-function carboxylic acids
291819,Other,2916,Oxygen-function carboxylic acids
291821,Salicylic acid and its salts,2916,Oxygen-function carboxylic acids
291822,"O-Acetylsalicylic acid, its salts and esters",2916,Oxygen-function carboxylic acids
291823,Other esters of salicylic acid and their salts,2916,Oxygen-function carboxylic acids
291829,Other,2916,Oxygen-function carboxylic acids
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives",2916,Oxygen-function carboxylic acids
291890,(-2006) Other,2916,Oxygen-function carboxylic acids
291900,"(-2006) Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives.",2919,"Phosphoric esters,etc"
292010,"(-2006) Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",2921,"Other inorganic esters,etc"
292090,Other,2921,"Other inorganic esters,etc"
292111,"Methylamine, di- or trimethylamine and their salts",2922,Amine-function compounds
292112,(-2006) Diethylamine and its salts,2922,Amine-function compounds
292119,Other,2922,Amine-function compounds
292121,Ethylenediamine and its salts,2922,Amine-function compounds
292122,Hexamethylenediamine and its salts,2922,Amine-function compounds
292129,Other,2922,Amine-function compounds
292130,"Cyclanic, cyclenic or cycloterpenic mono or polyamines, and their derivatives; salts thereof",2922,Amine-function compounds
292141,Aniline and its salts,2922,Amine-function compounds
292142,Aniline derivatives and their salts,2922,Amine-function compounds
292143,Toluidines and their derivatives; salts thereof,2922,Amine-function compounds
292144,Diphenylamine and its derivatives; salts thereof,2922,Amine-function compounds
292145,"1-Naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta-naphthylamine) and their derivatives; salts thereof",2922,Amine-function compounds
292146,"(2002-) Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (INN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof",2922,Amine-function compounds
292149,Other,2922,Amine-function compounds
292151,"o-, m-, p-Phenylenediamine, diaminotoluenes, and their derivatives; salts thereof",2922,Amine-function compounds
292159,Other,2922,Amine-function compounds
292211,Monoethanolamine and its salts,2923,Oxygen-function amino-compounds
292212,Diethanolamine and its salts,2923,Oxygen-function amino-compounds
292213,Triethanolamine and its salts,2923,Oxygen-function amino-compounds
292214,(2002-) Dextropropoxyphene (INN) and its salts,2923,Oxygen-function amino-compounds
292219,Other,2923,Oxygen-function amino-compounds
292221,Aminohydroxynaphthalenesulphonic acids and their salts,2923,Oxygen-function amino-compounds
292222,"(-2006) Anisidines, dianisidines, phenetidines, and their salts",2923,Oxygen-function amino-compounds
292229,Other,2923,Oxygen-function amino-compounds
292230,"(-2001) Amino-aldehydes, amino-ketones and amino-quinones,",2923,Oxygen-function amino-compounds
292231,"(2002-) Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof",2923,Oxygen-function amino-compounds
292239,(2002-) Other,2923,Oxygen-function amino-compounds
292241,Lysine and its esters; salts thereof,2923,Oxygen-function amino-compounds
292242,Glutamic acid and its salts,2923,Oxygen-function amino-compounds
292243,(1996-) Anthranilic acid and its salts,2923,Oxygen-function amino-compounds
292244,(2002-) Tilidine (INN) and its salts,2923,Oxygen-function amino-compounds
292249,Other,2923,Oxygen-function amino-compounds
292250,"Amino-alcohol-phenols, amino-acid-phenols and other aminocompounds with oxygen function",2923,Oxygen-function amino-compounds
292310,Choline and its salts,2924,Quaternary ammonium salts
292320,Lecithins and other phosphoaminolipids,2924,Quaternary ammonium salts
292390,Other,2924,Quaternary ammonium salts
292410,(-2001) Acyclic amides (including acyclic carbamates) and ,2925,Carboxyamide-function compounds
292411,(2002-) Meprobamate (INN),2925,Carboxyamide-function compounds
292419,(2002-) Other,2925,Carboxyamide-function compounds
292421,Ureines and their derivatives; salts thereof,2925,Carboxyamide-function compounds
292422,(1996-2001) Cyclic amides (including cyclic carbamates,2925,Carboxyamide-function compounds
292423,(2002-) 2Acetamidobenzoic acid (Nacetylanthranilic acid) and its salts,2925,Carboxyamide-function compounds
292424,(2002-) Ethinamate (INN),2925,Carboxyamide-function compounds
292429,Other,2925,Carboxyamide-function compounds
292511,Saccharin and its salts,2926,Carboxyimide-function compounds
292512,(2002-) Glutethimide (INN),2926,Carboxyimide-function compounds
292519,Other,2926,Carboxyimide-function compounds
292520,(-2006) Imines and their derivatives; salts thereof,2926,Carboxyimide-function compounds
292610,Acrylonitrile,2927A,Acrylonitrile
292620,1-Cyanoguanidine (dicyandiamide),2927B,Other nitrile-function compounds
292630,"(2002-) Fenproporex (INN) and its salts; methadone (INN) intermediate (4cyano2dimethylamino4,4diphenylbutane)",2927B,Other nitrile-function compounds
292690,Other,2927B,Other nitrile-function compounds
292700,"Diazo, azo or azoxycompounds.",2928,"Diazo-, azo- and azoxy-compounds"
292800,Organic derivatives of hydrazine or of hydroxylamine.,2929,Organic derivatives hydrazine
292910,Isocyanates,2930,Other nitrogen-functions
292990,Other,2930,Other nitrogen-functions
293010,(-2006) Dithiocarbonates (xanthates),2931,Organo-sulphur compounds
293020,Thiocarbamates and dithiocarbamates,2931,Organo-sulphur compounds
293030,"Thiuram mono, di or tetrasulphides",2931,Organo-sulphur compounds
293040,Methionine,2931,Organo-sulphur compounds
293090,Other,2931,Organo-sulphur compounds
293100,Other organoinorganic compounds.,2933,Organo-mercury compounds
293211,Tetrahydrofuran,2935B,"Other heterocyc compounds,etc"
293212,2-Furaldehyde (furfuraldehyde),2935B,"Other heterocyc compounds,etc"
293213,Furfuryl alcohol and tetrahydrofurfuryl alcohol,2935B,"Other heterocyc compounds,etc"
293219,Other,2935B,"Other heterocyc compounds,etc"
293221,"Coumarin, methylcoumarins and ethylcoumarins",2935B,"Other heterocyc compounds,etc"
293229,Other lactones,2935B,"Other heterocyc compounds,etc"
293290,(-1995) Heterocyclic compounds with oxygen hetero-,2935B,"Other heterocyc compounds,etc"
293291,(1996-) Isosafrole,2935B,"Other heterocyc compounds,etc"
293292,"(1996-) 1(1,3Benzodioxol5yl)propan2one",2935B,"Other heterocyc compounds,etc"
293293,(1996-) Piperonal,2935B,"Other heterocyc compounds,etc"
293294,(1996-) Safrole,2935B,"Other heterocyc compounds,etc"
293295,(2002-) Tetrahydrocannabinols (all isomers),2935B,"Other heterocyc compounds,etc"
293299,(1996-) Other,2935B,"Other heterocyc compounds,etc"
293311,Phenazone (antipyrin) and its derivatives,2935B,"Other heterocyc compounds,etc"
293319,Other,2935B,"Other heterocyc compounds,etc"
293321,Hydantoin and its derivatives,2925,Carboxyamide-function compounds
293329,Other,2935B,"Other heterocyc compounds,etc"
293331,Pyridine and its salts,2935B,"Other heterocyc compounds,etc"
293332,(1996-) Piperidine and its salts,2935B,"Other heterocyc compounds,etc"
293333,"(2002-) Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) interm",2935B,"Other heterocyc compounds,etc"
293339,Other,2935B,"Other heterocyc compounds,etc"
293340,(-2001) Compounds containing a quinoline or isoquinoline r,2935B,"Other heterocyc compounds,etc"
293341,(2002-) Levorphanol (INN) and its salts,2935B,"Other heterocyc compounds,etc"
293349,(2002-) Other,2935B,"Other heterocyc compounds,etc"
293351,(-2001) Compounds containing a pyrimidine ring (whether or,2926,Carboxyimide-function compounds
293352,(2002-) Malonylurea (barbituric acid) and its salts,2926,Carboxyimide-function compounds
293353,"(2002-) Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts ",2926,Carboxyimide-function compounds
293354,(2002-) Other derivatives of malonylurea (barbituric acid); salts thereof,2926,Carboxyimide-function compounds
293355,"(2002-) Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",2926,Carboxyimide-function compounds
293359,Other,2926,Carboxyimide-function compounds
293361,Melamine,2926,Carboxyimide-function compounds
293369,Other,2926,Carboxyimide-function compounds
293371,6-Hexanelactam (epsilon-caprolactam),2935A,Lactams
293372,(2002-) Clobazam (INN) and methyprylon (INN),2935A,Lactams
293379,Other lactams,2935A,Lactams
293390,(-2001) Other,2926,Carboxyimide-function compounds
293391,"(2002-) Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), loraz",2926,Carboxyimide-function compounds
293399,(2002-) Other,2926,Carboxyimide-function compounds
293410,Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure,2935B,"Other heterocyc compounds,etc"
293420,"Compounds containing in the structure a benzothiazole ringsystem (whether or not hydrogenated), not further fused",2935B,"Other heterocyc compounds,etc"
293430,"Compounds containing in the structure a phenothiazine ringsystem (whether or not hydrogenated), not further fused",2935B,"Other heterocyc compounds,etc"
293490,(-2001) Other,2935B,"Other heterocyc compounds,etc"
293491,"(2002-) Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts",2935B,"Other heterocyc compounds,etc"
293499,(2002-) Other,2935B,"Other heterocyc compounds,etc"
293500,Sulphonamides.,2936,Sulphonamides
293610,"(-2006) Provitamins, unmixed",2938,Provitamins and vitamins
293621,Vitamins A and their derivatives,2938,Provitamins and vitamins
293622,Vitamin B1 and its derivatives,2938,Provitamins and vitamins
293623,Vitamin B2 and its derivatives,2938,Provitamins and vitamins
293624,D- or DL-Pantothenic acid (Vitamin B3 or Vitamin B5) and its derivatives,2938,Provitamins and vitamins
293625,Vitamin B6 and its derivatives,2938,Provitamins and vitamins
293626,Vitamin B12 and its derivatives,2938,Provitamins and vitamins
293627,Vitamin C and its derivatives,2938,Provitamins and vitamins
293628,Vitamin E and its derivatives,2938,Provitamins and vitamins
293629,Other vitamins and their derivatives,2938,Provitamins and vitamins
293690,"Other, including natural concentrates",2938,Provitamins and vitamins
293710,"(-2001) Pituitary (anterior) or similar hormones, and thei",2939B,"Pituitary,similr hormone"
293711,"(2002-) Somatotropin, its derivatives and structural analogues",2939B,"Pituitary,similr hormone"
293712,(2002-) Insulin and its salts,2939A,Insulin
293719,(2002-) Other,2939B,"Pituitary,similr hormone"
293721,"Cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",2939C,Adrenal cortical hormone
293722,Halogenated derivatives of corticosteroidal hormones,2939C,Adrenal cortical hormone
293723,(2002-) Oestrogens and progestogens,2939D,"Othr hormones,derivatives,etc"
293729,Other,2939C,Adrenal cortical hormone
293731,(2002-) Epinephrine,2939D,"Othr hormones,derivatives,etc"
293739,(2002-) Other,2939D,"Othr hormones,derivatives,etc"
293740,(2002-) Aminoacid derivatives,2939D,"Othr hormones,derivatives,etc"
293750,"(2002-) Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",2939D,"Othr hormones,derivatives,etc"
293790,(2002-) Other,2939D,"Othr hormones,derivatives,etc"
293791,(-2001) Other hormones and their derivatives; other steroi,2939A,Insulin
293792,(-2001) Other hormones and their derivatives; other steroi,2939D,"Othr hormones,derivatives,etc"
