HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
370295,Of a width exceeding 35 mm,22,Processed
370310,In rolls of a width exceeding 610 mm,22,Processed
370320,"Other, for colour photography (polychrome)",22,Processed
370390,Other,22,Processed
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed.",22,Processed
370510,For offset reproduction,22,Processed
370520,(-2006) Microfilms,22,Processed
370590,Other,22,Processed
370610,Of a width of 35 mm or more,22,Processed
370690,Other,22,Processed
370710,Sensitising emulsions,22,Processed
370790,Other,22,Processed
380110,Artificial graphite,22,Processed
380120,Colloidal or semicolloidal graphite,22,Processed
380130,Carbonaceous pastes for electrodes and similar pastes for furnace linings,22,Processed
380190,Other,22,Processed
380210,Activated carbon,22,Processed
380290,Other,22,Processed
380300,"Tall oil, whether or not refined.",22,Processed
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03.",22,Processed
380510,"Gum, wood or sulphate turpentine oils",22,Processed
380520,(-2006) Pine oil,22,Processed
380590,Other,22,Processed
380610,Rosin and resin acids,22,Processed
380620,"Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts",22,Processed
380630,Ester gums,22,Processed
380690,Other,22,Processed
380700,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch.",22,Processed
380810,(-2006) Insecticides,22,Processed
380820,(-2006) Fungicides,22,Processed
380830,"(-2006) Herbicides, antisprouting products and plantgrowth regulators",22,Processed
380840,(-2006) Disinfectants,22,Processed
380890,(-2006) Other,22,Processed
380910,With a basis of amylaceous substances,22,Processed
380991,Of a kind used in the textile or like industries,22,Processed
380992,Of a kind used in the paper or like industries,22,Processed
380993,Of a kind used in the leather or like industries,22,Processed
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials",22,Processed
381090,Other,22,Processed
381111,Based on lead compounds,22,Processed
381119,Other,22,Processed
381121,Containing petroleum oils or oils obtained from bituminous minerals,22,Processed
381129,Other,22,Processed
381190,Other,22,Processed
381210,Prepared rubber accelerators,22,Processed
381220,Compound plasticisers for rubber or plastics,22,Processed
381230,Antioxidising preparations and other compound stabilisers for rubber or plastics,22,Processed
381300,Preparations and charges for fireextinguishers; charged fireextinguishing grenades.,22,Processed
381400,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers.",22,Processed
381511,With nickel or nickel compounds as the active substance,22,Processed
381512,With precious metal or precious metal compounds as the active substance,22,Processed
381519,Other,22,Processed
381590,Other,22,Processed
381600,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 38.01.",22,Processed
381700,"(2002-) Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 27.07 or 29.02.",22,Processed
381710,(-2001) Mixed alkylbenzenes,22,Processed
381720,(-2001) Mixed alkylnaphthalenes,22,Processed
381800,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics.",22,Processed
381900,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals.",22,Processed
382000,Antifreezing preparations and prepared deicing fluids.,22,Processed
382100,Prepared culture media for development of microorganisms.,22,Processed
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06; certified reference materials.",22,Processed
382310,(-1995) Prepared binders for foundry moulds or cor,22,Processed
382311,(1996-) Stearic acid,22,Processed
382312,(1996-) Oleic acid,22,Processed
382313,(1996-) Tall oil fatty acids,22,Processed
382319,(1996-) Other,22,Processed
382320,"(-1995) Naphthenic acids, their water-insoluble sa",22,Processed
382330,(-1995) Non-agglomerated metal carbides mixed toge,22,Processed
382340,"(-1995) Prepared additives for cements, mortars or",22,Processed
382350,(-1995) Non-refractory mortars and concretes,22,Processed
382360,(-1995) Sorbitol (excl. that of 2905.44),22,Processed
382370,(1996-) Industrial fatty alcohols,22,Processed
382390,(-1995) Chemical products and residual products of,22,Processed
382410,(1996-) Prepared binders for foundry moulds or cores,22,Processed
382420,"(1996-2006) Naphthenic acids, their waterinsoluble salts and their esters",22,Processed
382430,(1996-) Nonagglomerated metal carbides mixed together or with metallic binders,22,Processed
382440,"(1996-) Prepared additives for cements, mortars or concretes",22,Processed
382450,(1996-) Nonrefractory mortars and concretes,22,Processed
382460,(1996-) Sorbitol other than that of subheading 2905.44,22,Processed
382471,(1996-) Containing acyclic hydrocarbons perhalogenated only with fluorine and chlorine,22,Processed
382479,(1996-) Other,22,Processed
382490,(1996-) Other,22,Processed
382510,(2002-) Municipal waste,22,Processed
382520,(2002-) Sewage sludge,22,Processed
382530,(2002-) Clinical waste,22,Processed
382541,(2002-) Halogenated,22,Processed
382549,(2002-) Other,22,Processed
382550,"(2002-) Wastes of metal pickling liquors, hydraulic fluids, brake  fluids and antifreeze fluids",22,Processed
382561,(2002-) Mainly containing organic constituents,22,Processed
382569,(2002-) Other,22,Processed
382590,(2002-) Other,22,Processed
390110,Polyethylene having a specific gravity of less than 0.94,22,Processed
390120,Polyethylene having a specific gravity of 0.94 or more,22,Processed
390130,Ethylenevinyl acetate copolymers,22,Processed
390190,Other,22,Processed
390210,Polypropylene,22,Processed
390220,Polyisobutylene,22,Processed
390230,Propylene copolymers,22,Processed
390290,Other,22,Processed
390311,Expansible,22,Processed
390319,Other,22,Processed
390320,Styreneacrylonitrile (SAN) copolymers,22,Processed
390330,Acrylonitrilebutadienestyrene (ABS) copolymers,22,Processed
390390,Other,22,Processed
390410,"Poly(vinyl chloride), not mixed with any other substances",22,Processed
390421,Nonplasticised,22,Processed
390422,Plasticised,22,Processed
390430,Vinyl chloridevinyl acetate copolymers,22,Processed
390440,Other vinyl chloride copolymers,22,Processed
390450,Vinylidene chloride polymers,22,Processed
390461,Polytetrafluoroethylene,22,Processed
390469,Other,22,Processed
390490,Other,22,Processed
390511,"(-1995) Polymers of vinyl acetate, in aqueous disp",22,Processed
390512,(1996-) In aqueous dispersion,22,Processed
390519,Other,22,Processed
390520,"(-1995) Polyvinyl alcohols, in primary forms",22,Processed
390521,(1996-) In aqueous dispersion,22,Processed
390529,(1996-) Other,22,Processed
390530,"(1996-) Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",22,Processed
390590,(-1995) Polymers of vinyl esters or vinyl polymers,22,Processed
390591,(1996-) Copolymers,22,Processed
390599,(1996-) Other,22,Processed
390610,Poly(methyl methacrylate),22,Processed
390690,Other,22,Processed
390710,Polyacetals,22,Processed
390720,Other polyethers,22,Processed
390730,Epoxide resins,22,Processed
390740,Polycarbonates,22,Processed
390750,Alkyd resins,22,Processed
390760,Poly(ethylene terephthalate),22,Processed
390791,Unsaturated,22,Processed
390799,Other,22,Processed
390810,"Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",22,Processed
390890,Other,22,Processed
390910,Urea resins; thiourea resins,22,Processed
390920,Melamine resins,22,Processed
390930,Other aminoresins,22,Processed
390940,Phenolic resins,22,Processed
390950,Polyurethanes,22,Processed
391000,Silicones in primary forms.,22,Processed
391110,"Petroleum resins, coumarone, indene or coumaroneindene resins and polyterpenes",22,Processed
391190,Other,22,Processed
391211,Nonplasticised,22,Processed
391212,Plasticised,22,Processed
391220,Cellulose nitrates (including collodions),22,Processed
391231,Carboxymethylcellulose and its salts,22,Processed
391239,Other,22,Processed
391290,Other,22,Processed
391310,"Alginic acid, its salts and esters",22,Processed
391390,Other,22,Processed
391400,"Ionexchangers based on polymers of headings 39.01 to 39.13, in primary forms.",22,Processed
391510,Of polymers of ethylene,22,Processed
391520,Of polymers of styrene,22,Processed
391530,Of polymers of vinyl chloride,22,Processed
391590,Of other plastics,22,Processed
391610,Of polymers of ethylene,22,Processed
391620,Of polymers of vinyl chloride,22,Processed
391690,Of other plastics,22,Processed
391710,Artificial guts (sausage casings) of hardened protein or of cellulosic materials,22,Processed
391721,Of polymers of ethylene,22,Processed
391722,Of polymers of propylene,22,Processed
391723,Of polymers of vinyl chloride,22,Processed
391729,Of other plastics,22,Processed
391731,"Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",22,Processed
391732,"Other, not reinforced or otherwise combined with other materials, without fittings",22,Processed
391733,"Other, not reinforced or otherwise combined with other materials, with fittings",22,Processed
391739,Other,22,Processed
391740,Fittings,22,Processed
391810,Of polymers of vinyl chloride,22,Processed
391890,Of other plastics,22,Processed
391910,In rolls of a width not exceeding 20 cm,22,Processed
391990,Other,22,Processed
392010,Of polymers of ethylene,22,Processed
392020,Of polymers of propylene,22,Processed
392030,Of polymers of styrene,22,Processed
392041,(-2001) Of polymers of vinyl chloride :-- Rigid,22,Processed
392042,(-2001) Of polymers of vinyl chloride :-- Flexible,22,Processed
392043,(2002-) Containing by weight not less than 6 % of plasticisers,22,Processed
392049,(2002-) Other,22,Processed
392051,Of poly(methyl methacrylate),22,Processed
392059,Other,22,Processed
392061,Of polycarbonates,22,Processed
392062,Of poly(ethylene terephthalate),22,Processed
392063,Of unsaturated polyesters,22,Processed
392069,Of other polyesters,22,Processed
392071,Of regenerated cellulose,22,Processed
392072,(-2006) Of vulcanised fibre,22,Processed
392073,Of cellulose acetate,22,Processed
392079,Of other cellulose derivatives,22,Processed
392091,Of poly(vinyl butyral),22,Processed
392092,Of polyamides,22,Processed
392093,Of aminoresins,22,Processed
392094,Of phenolic resins,22,Processed
392099,Of other plastics,22,Processed
392111,Of polymers of styrene,22,Processed
392112,Of polymers of vinyl chloride,22,Processed
392113,Of polyurethanes,22,Processed
392114,Of regenerated cellulose,22,Processed
392119,Of other plastics,22,Processed
392190,Other,22,Processed
392310,"Boxes, cases, crates and similar articles",22,Processed
392321,Of polymers of ethylene,22,Processed
392329,Of other plastics,22,Processed
392330,"Carboys, bottles, flasks and similar articles",22,Processed
392340,"Spools, cops, bobbins and similar supports",22,Processed
392350,"Stoppers, lids, caps and other closures",22,Processed
392390,Other,22,Processed
392610,Office or school supplies,22,Processed
392630,"Fittings for furniture, coachwork or the like",22,Processed
400211,Latex,22,Processed
400219,Other,22,Processed
400220,Butadiene rubber (BR),22,Processed
400231,Isobutene-isoprene (butyl) rubber (IIR),22,Processed
400239,Other,22,Processed
400241,Latex,22,Processed
400249,Other,22,Processed
400251,Latex,22,Processed
400259,Other,22,Processed
400260,Isoprene rubber (IR),22,Processed
400270,Ethylenepropylenenonconjugated diene rubber (EPDM),22,Processed
400280,Mixtures of any product of heading 40.01 with any product of this heading,22,Processed
400291,Latex,22,Processed
400299,Other,22,Processed
400510,Compounded with carbon black or silica,22,Processed
400520,Solutions; dispersions other than those of subheading 4005.10,22,Processed
400591,"Plates, sheets and strip",22,Processed
400599,Other,22,Processed
400610,Camelback strips for retreading rubber tyres,22,Processed
400690,Other,22,Processed
400700,Vulcanised rubber thread and cord.,22,Processed
400811,"Plates, sheets and strip",22,Processed
400819,Other,22,Processed
400821,"Plates, sheets and strip",22,Processed
400829,Other,22,Processed
400910,(-2001) Not reinforced or otherwise combined with other ma,22,Processed
400911,(2002-) Without fittings,22,Processed
400912,(2002-) With fittings,22,Processed
400920,"(-2001) Reinforced or otherwise combined only with metal, ",22,Processed
400921,(2002-) Without fittings,22,Processed
400922,(2002-) With fittings,22,Processed
400930,(-2001) Reinforced or otherwise combined only with textile,22,Processed
400931,(2002-) Without fittings,22,Processed
400932,(2002-) With fittings,22,Processed
400940,(-2001) Reinforced or otherwise combined with other materi,22,Processed
400941,(2002-) Without fittings,22,Processed
400942,(2002-) With fittings,22,Processed
400950,(-2001) With fittings,22,Processed
401410,Sheath contraceptives,22,Processed
401490,Other,22,Processed
401700,"Hard rubber (for example, ebonite) in all forms, including waste and scrap; articles of hard rubber.",22,Processed
410410,"(-2001) Whole bovine skin leather, of a unit surface area ",22,Processed
410411,"(2002-) Full grains, unsplit; grain splits",22,Processed
410419,(2002-) Other,22,Processed
410421,"(-2001) Other bovine leather and equine leather, tanned or",22,Processed
410422,"(-2001) Other bovine leather and equine leather, tanned or",22,Processed
410429,"(-2001) Other bovine leather and equine leather, tanned or",22,Processed
410431,"(-2001) Other bovine leather and equine leather, parchment",22,Processed
410439,"(-2001) Other bovine leather and equine leather, parchment",22,Processed
410441,"(2002-) Full grains, unsplit; grain splits",22,Processed
410449,(2002-) Other,22,Processed
410510,(2002-) In the wet state (including wetblue),22,Processed
410511,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410512,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410519,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410520,(-2001) Parchment-dressed or prepared after tanning,22,Processed
410530,(2002-) In the dry state (crust),22,Processed
410611,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410612,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410619,"(-2001) Tanned or retanned but not further prepared, wheth",22,Processed
410620,(-2001) Parchment-dressed or prepared after tanning,22,Processed
410621,(2002-) In the wet state (including wetblue),22,Processed
410622,(2002-) In the dry state (crust),22,Processed
410631,(2002-) In the wet state (including wetblue),22,Processed
410632,(2002-) In the dry state (crust),22,Processed
410640,(2002-) Of reptiles,22,Processed
410691,(2002-) In the wet state (including wetblue),22,Processed
410692,(2002-) In the dry state (crust),22,Processed
410710,(-2001) Of swine,22,Processed
410711,"(2002-) Full grains, unsplit",22,Processed
410712,(2002-) Grain splits,22,Processed
410719,(2002-) Other,22,Processed
410721,(-2001) Of reptiles :-- Vegetable pre-tanned,22,Processed
410729,(-2001) Of reptiles :-- Other,22,Processed
410790,(-2001) Of other animals,22,Processed
410791,"(2002-) Full grains, unsplit",22,Processed
410792,(2002-) Grain splits,22,Processed
410799,(2002-) Other,22,Processed
410800,(-2001) Chamois (including combination chamois) leather.,22,Processed
410900,(-2001) Patent leather and patent laminated leather; metal,22,Processed
411100,(-2001) Composition leather with a basis of leather or lea,22,Processed
411200,"(2002-) Leather further prepared after tanning or crusting, including parchmentdressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 41.14.",22,Processed
411310,(2002-) Of goats or kids,22,Processed
411320,(2002-) Of swine,22,Processed
411330,(2002-) Of reptiles,22,Processed
411390,(2002-) Other,22,Processed
411410,(2002-) Chamois (including combination chamois) leather,22,Processed
411420,(2002-) Patent leather and patent laminated leather; metallised  leather,22,Processed
411510,"(2002-) Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls",22,Processed
420610,(-2006) Catgut,22,Processed
420690,(-2006) Other,22,Processed
430211,Of mink,22,Processed
430212,"(-2001) Whole skins, with or without head, tail or paws, n",22,Processed
430213,"(-2006) Of lamb, the following : Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb",22,Processed
430219,Other,22,Processed
430220,"Heads, tails, paws and other pieces or cuttings, not assembled",22,Processed
430230,"Whole skins and pieces or cuttings thereof, assembled",22,Processed
440500,Wood wool; wood flour.,22,Processed
440610,Not impregnated,22,Processed
440690,Other,22,Processed
440710,Coniferous,22,Processed
440721,"(-1995, 2007-) Specified tropical woods (Meranti, etc) sa",22,Processed
440722,"(-1995, 2007-) Specified tropical woods (OKoume..., etc) ",22,Processed
440723,"(-1995) Baboen, Mahogany, Imbuia and Balsa wood, s",22,Processed
440724,"(1996-2006) Virola, Mahogany (Swietenia spp.), Imbuia and Balsa",22,Processed
440725,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",22,Processed
440726,"(1996-) White Lauan, White Meranti, White Seraya, Yellow Meranti and Alan",22,Processed
440729,(1996-) Other,22,Processed
440791,Of oak (Quercus spp.),22,Processed
440792,Of beech (Fagus spp.),22,Processed
440799,Other,22,Processed
440810,Coniferous,22,Processed
440820,(-1995) Specified tropical wood veneer sheets and ,22,Processed
440831,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",22,Processed
440839,(1996-) Other,22,Processed
440890,Other,22,Processed
440910,Coniferous,22,Processed
440920,(-2006) Nonconiferous,22,Processed
441010,"(-1995) Particle board and similar board of wood, ",22,Processed
441011,"(1996-2001, 2007-) Of wood :-- Waferboard, including oriented",22,Processed
441019,"(1996-2001, 2007-) Of wood :-- Other",22,Processed
441021,(2002-2006) Unworked or not further worked than sanded,22,Processed
441029,(2002-2006) Other,22,Processed
441031,(2002-2006) Unworked or not further worked than sanded,22,Processed
441032,(2002-2006) Surfacecovered with melamineimpregnated paper,22,Processed
441033,(2002-2006) Surfacecovered with decorative laminates of plastics,22,Processed
441039,(2002-2006) Other,22,Processed
441090,Other,22,Processed
441211,(-1995) Plywood with >=1 outer ply of tropical woo,22,Processed
441212,(-1995) Plywood with >=1 outer ply of non-conifero,22,Processed
441213,(1996-2006) With at least one outer ply of tropical wood specified in Subheading Note 1 to this Chapter,22,Processed
441214,"(1996-2006) Other, with at least one outer ply of nonconiferous wood",22,Processed
441219,(-2006) Other,22,Processed
441221,"(-1995) Plywood... >6mm non-coniferous outer ply, ",22,Processed
441222,(1996-2006) With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,22,Processed
441223,"(1996-2006) Other, containing at least one layer of particle board",22,Processed
441229,(-2006) Other,22,Processed
441291,(-1995) Plywood... containing at least one layer o,22,Processed
441292,(1996-2006) With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,22,Processed
441293,"(1996-2006) Other, containing at least one layer of particle board",22,Processed
441299,Other,22,Processed
441300,"Densified wood, in blocks, plates, strips or profile shapes.",22,Processed
441510,"Cases, boxes, crates, drums and similar packings; cabledrums",22,Processed
441520,"Pallets, box pallets and other load boards; pallet collars",22,Processed
441600,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",22,Processed
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",22,Processed
441810,"Windows, Frenchwindows and their frames",22,Processed
441820,Doors and their frames and thresholds,22,Processed
441830,(-2006) Parquet panels,22,Processed
441840,Shuttering for concrete constructional work,22,Processed
441850,Shingles and shakes,22,Processed
441890,Other,22,Processed
442110,Clothes hangers,22,Processed
442190,Other,22,Processed
450310,Corks and stoppers,22,Processed
450390,Other,22,Processed
450410,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinders, including discs",22,Processed
450490,Other,22,Processed
470100,Mechanical wood pulp.,22,Processed
470200,"Chemical wood pulp, dissolving grades.",22,Processed
470311,Coniferous,22,Processed
470319,Nonconiferous,22,Processed
470321,Coniferous,22,Processed
470329,Nonconiferous,22,Processed
470411,Coniferous,22,Processed
470419,Nonconiferous,22,Processed
470421,Coniferous,22,Processed
470429,Nonconiferous,22,Processed
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes.,22,Processed
470610,Cotton linters pulp,22,Processed
470620,(1996-) Pulps of fibres derived from recovered (waste and scrap) paper or paperboard,22,Processed
470691,Mechanical,22,Processed
470692,Chemical,22,Processed
470693,Semichemical,22,Processed
480100,"Newsprint, in rolls or sheets.",22,Processed
480210,Handmade paper and paperboard,22,Processed
480220,"Paper and paperboard of a kind used as a base for photosensitive, heatsensitive or electrosensitive paper or paperboard",22,Processed
480230,(-2006) Carbonising base paper,22,Processed
480240,Wallpaper base,22,Processed
480251,"(-2001) Other paper and paperboard, not containing fibres ",22,Processed
480252,"(-2001) Other paper and paperboard, not containing fibres ",22,Processed
480253,"(-2001) Other paper and paperboard, not containing fibres ",22,Processed
480254,(2002-) Weighing less than 40 g/m²,22,Processed
480255,"(2002-) Weighing 40 g/m² or more but not more than 150 g/m², in rolls",22,Processed
480256,"(2002-) Weighing 40 g/m² or more but not more than 150 g/m², in sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state",22,Processed
480257,"(2002-) Other, weighing 40 g/m² or more but not more than 150 g/m²",22,Processed
480258,(2002-) Weighing more than 150 g/m²,22,Processed
480260,"(-2001) Other paper and paperboard, of which more than 10 ",22,Processed
480261,(2002-) In rolls,22,Processed
480262,(2002-) In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state,22,Processed
480269,(2002-) Other,22,Processed
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surfacecoloured, surfacedecora",22,Processed
480411,Unbleached,22,Processed
480419,Other,22,Processed
480421,Unbleached,22,Processed
480429,Other,22,Processed
480431,Unbleached,22,Processed
480439,Other,22,Processed
480441,Unbleached,22,Processed
480442,Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process,22,Processed
480449,Other,22,Processed
480451,Unbleached,22,Processed
480452,Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood obtained by a chemical process,22,Processed
480459,Other,22,Processed
480510,(-2001) Semi-chemical fluting paper (corrugating medium),22,Processed
480511,(2002-) Semichemical fluting paper,22,Processed
480512,(2002-) Straw fluting paper,22,Processed
480519,(2002-) Other,22,Processed
480521,(-2001) Multi-ply paper and paperboard :-- Each layer blea,22,Processed
480522,(-2001) Multi-ply paper and paperboard :-- With only one o,22,Processed
480523,(-2001) Multi-ply paper and paperboard :-- Having three or,22,Processed
480524,(2002-) Weighing 150 g/m² or less,22,Processed
480525,(2002-) Weighing more than 150 g/m²,22,Processed
480529,(-2001) Multi-ply paper and paperboard :-- Other,22,Processed
480530,Sulphite wrapping paper,22,Processed
480540,Filter paper and paperboard,22,Processed
480550,Felt paper and paperboard,22,Processed
480560,"(-2001) Other paper and paperboard, weighing 150 g/m2 or l",22,Processed
480570,"(-2001) Other paper and paperboard, weighing more than 150",22,Processed
480580,"(-2001) Other paper and paperboard, weighing 225 g/m2 or m",22,Processed
480591,(2002-) Weighing 150 g/m² or less,22,Processed
480592,(2002-) Weighing more than 150 g/m² but less than 225 g/m²,22,Processed
480593,(2002-) Weighing 225 g/m² or more,22,Processed
480610,Vegetable parchment,22,Processed
480620,Greaseproof papers,22,Processed
480630,Tracing papers,22,Processed
480640,Glassine and other glazed transparent or translucent papers,22,Processed
480700,"(2002-) Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surfacecoated or impregnated, whether or not internally reinforced, in rolls or sheets.",22,Processed
480710,"(-2001) Paper and paperboard, laminated internally with bi",22,Processed
480790,(1996-2001) Other,22,Processed
480791,"(-1995) Straw paper and paperboard, in rolls or sh",22,Processed
480799,"(-1995) Composite paper and paperboard, in rolls o",22,Processed
480810,"Corrugated paper and paperboard, whether or not perforated",22,Processed
480820,"Sack kraft paper, creped or crinkled, whether or not embossed or perforated",22,Processed
480830,"Other kraft paper, creped or crinkled, whether or not embossed or perforated",22,Processed
480890,Other,22,Processed
480910,(-2006) Carbon or similar copying papers,22,Processed
480920,Selfcopy paper,22,Processed
480990,Other,22,Processed
481011,"(-2001) Paper and paperboard of a kind used for writing, p",22,Processed
481012,"(-2001) Paper and paperboard of a kind used for writing, p",22,Processed
481013,(2002-) In rolls,22,Processed
481014,(2002-) In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state,22,Processed
481019,(2002-) Other,22,Processed
481021,"(-2001) Paper and paperboard of a kind used for writing, p",22,Processed
481022,(2002-) Lightweight coated paper,22,Processed
481029,Other,22,Processed
481031,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m² or less",22,Processed
481032,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing more than 150 g/m²",22,Processed
481039,Other,22,Processed
481091,(-2001) Other paper and paperboard :-- Multi-ply,22,Processed
481092,(2002-) Multiply,22,Processed
481099,Other,22,Processed
481110,"Tarred, bituminised or asphalted paper and paperboard",22,Processed
481121,(-2001) Gummed or adhesive paper and paperboard :-- Self-a,22,Processed
481129,(-2001) Gummed or adhesive paper and paperboard :-- Other,22,Processed
481131,"(-2001) Paper and paperboard coated, impregnated or covere",22,Processed
481139,"(-2001) Paper and paperboard coated, impregnated or covere",22,Processed
481140,"(-2001) Paper and paperboard, coated, impregnated or cover",22,Processed
481141,(2002-) Self-adhesive,22,Processed
481149,(2002-) Other,22,Processed
481151,"(2002-) Bleached, weighing more than 150 g/m²",22,Processed
481159,(2002-) Other,22,Processed
481160,"(2002-) Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",22,Processed
481190,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres",22,Processed
481200,"Filter blocks, slabs and plates, of paper pulp.",22,Processed
481310,In the form of booklets or tubes,22,Processed
481320,In rolls of a width not exceeding 5 cm,22,Processed
481390,Other,22,Processed
481410,Ingrain paper,22,Processed
481420,"Wallpaper and similar wall coverings, consisting of paper coated or covered, on the face side, with a grained, embossed, coloured, designprinted or otherwise decorated layer of plastics",22,Processed
481430,"(-2006) Wallpaper and similar wall coverings, consisting of paper covered, on the face side, with plaiting material, whether or not bound together in parallel strands or woven",22,Processed
481490,Other,22,Processed
481610,(-2006) Carbon or similar copying papers,22,Processed
481620,Selfcopy paper,22,Processed
481630,(-2006) Duplicator stencils,22,Processed
481690,Other,22,Processed
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",22,Processed
481920,"Folding cartons, boxes and cases, of noncorrugated paper or paperboard",22,Processed
481930,"Sacks and bags, having a base of a width of 40 cm or more",22,Processed
481940,"Other sacks and bags, including cones",22,Processed
481950,"Other packing containers, including record sleeves",22,Processed
481960,"Box files, letter trays, storage boxes and similar articles, of a kind used in offices, shops or the like",22,Processed
482010,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles",22,Processed
482020,Exercise books,22,Processed
482030,"Binders (other than book covers), folders and file covers",22,Processed
482040,Manifold business forms and interleaved carbon sets,22,Processed
482050,Albums for samples or for collections,22,Processed
482090,Other,22,Processed
482110,Printed,22,Processed
482190,Other,22,Processed
482210,Of a kind used for winding textile yarn,22,Processed
482290,Other,22,Processed
482311,"(-2001) Gummed or adhesive paper, in strips or rolls :-- S",22,Processed
482312,(2002-2006) Selfadhesive,22,Processed
482319,(-2006) Other,22,Processed
482320,Filter paper and paperboard,22,Processed
482330,"(-1995) Cards, not punched, for punch card machine",22,Processed
482340,"Rolls, sheets and dials, printed for selfrecording apparatus",22,Processed
482351,"(-2001) Other paper and paperboard, of a kind used for wri",22,Processed
482359,"(-2001) Other paper and paperboard, of a kind used for wri",22,Processed
482370,Moulded or pressed articles of paper pulp,22,Processed
482390,Other,22,Processed
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; handwritten texts; photographic reproductions on sensitised paper and carbon copies of the foregoing.",22,Processed
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value; stampimpressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of title.",22,Processed
491110,"Trade advertising material, commercial catalogues and the like",22,Processed
500200,Raw silk (not thrown).,22,Processed
500400,Silk yarn (other than yarn spun from silk waste) not put up for retail sale.,22,Processed
500500,"Yarn spun from silk waste, not put up for retail sale.",22,Processed
500710,Fabrics of noil silk,22,Processed
500720,"Other fabrics, containing 85 % or more by weight of silk or of silk waste other than noil silk",22,Processed
500790,Other fabrics,22,Processed
510510,Carded wool,22,Processed
510521,Combed wool in fragments,22,Processed
510529,Other,22,Processed
510530,"(-2001) Fine animal hair, carded or combed",22,Processed
510531,(2002-) Of Kashmir (cashmere) goats,22,Processed
510539,(2002-) Other,22,Processed
510540,"Coarse animal hair, carded or combed",22,Processed
510610,Containing 85 % or more by weight of wool,22,Processed
