HS 1988/92 Product Code,HS 1988/92 Product Description,CPC Product Code,CPC Product Description
550340,"Synthetic staple fibres, of polypropylene, not",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550390,"Synthetic staple fibres, nes, not carded, etc",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550410,"Artificial staple fibres, of viscose rayon, not",3554,"Artificial filament tow and staple fibres, not carded or combed"
550490,"Artificial staple fibres, (excl. viscose), not",3554,"Artificial filament tow and staple fibres, not carded or combed"
550510,"Waste of synthetic fibre, (incl. noils, yarn wa",39216,Waste of man-made fibres
550520,"Waste of artificial fibre, (incl. noils, yarn w",39216,Waste of man-made fibres
550610,"Synthetic staple fibres, of nylon or other poly",2621,"Synthetic staple fibres, carded, combed or otherwise processed for spinning"
550620,"Synthetic staple fibres, of polyesters, carded,",2621,"Synthetic staple fibres, carded, combed or otherwise processed for spinning"
550630,"Acrylic or modacrylic synthetic staple fibres,",2621,"Synthetic staple fibres, carded, combed or otherwise processed for spinning"
550690,"Synthetic staple fibres, nes, carded, etc",2621,"Synthetic staple fibres, carded, combed or otherwise processed for spinning"
550700,"Artificial staple fibres, carded, combed or pro",2622,"Artificial staple fibres, carded, combed or otherwise processed for"
550810,Sewing thread of synthetic staple fibres,2641,Sewing thread of man-made filaments or staple fibres
550820,Sewing thread of artificial staple fibres,2641,Sewing thread of man-made filaments or staple fibres
550911,"Single yarn, with >=85% staple fibres of nylon",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550912,"Multiple or cabled yarn, >=85% staple fibres of",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550921,"Single yarn, with >=85% polyester staple fibres",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550922,"Multiple or cabled yarn, with >=85% polyester s",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550931,"Single yarn, with >=85% acrylic or modacrylic s",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550932,"Multiple or cabled yarn, >=85% acrylic or modac",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
550941,"Single yarn, with >=85% synthetic staple fibres",2643,"Yarn (other than sewing thread) of synthetic staple fibres, containing"
