HS 1988/92 Product Code,HS 1988/92 Product Description,CPC Product Code,CPC Product Description
570410,"Carpet tiles =<0.3m2, of felt, not tufted or fl",2729,Other carpets and textile floor coverings (including those of felt)
570490,"Floor coverings of felt, nes, not tufted or flo",2729,Other carpets and textile floor coverings (including those of felt)
570500,"Other carpets and other textile floor coveings,",2729,Other carpets and textile floor coverings (including those of felt)
580110,Woven pile fabrics and chenille fabrics of wool,2683,Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics)
580121,Uncut weft pile fabrics of cotton,2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580122,Cut corduroy of cotton,2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580123,"Weft pile fabrics of cotton, nes",2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580124,"Warp pile fabrics, epingle (uncut), of cotton",2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580125,"Warp pile fabrics, cut, of cotton",2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580126,"Chenille fabrics, of cotton",2681,Woven pile fabrics and chenille fabrics (other than terry towelling
580131,"Uncut weft pile fabrics of man-made fibres, nes",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580132,"Cut corduroy of man-made fibres, nes",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580133,"Weft pile fabrics of man-made fibres, nes",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580134,"Warp pile fabrics, epingle (uncut), of man-made",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580135,"Warp pile fabrics, cut, of man-made fibres, nes",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580136,"Chenille fabrics of man-made fibres, nes",2682,Woven pile fabrics and chenille fabrics (other than terry towelling
580190,Woven pile and chenille fabrics of other textil,2683,Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics)
580211,Unbleached terry towelling and similar woven te,2684,Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton
580219,Terry towelling and similar woven terry fabrics,2684,Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton
580220,Terry towelling and similar woven terry fabrics,2685,Other terry towelling and similar woven terry fabrics (other than narrow fabrics)
580230,Tufted textile fabrics,2688,"Tufted textile fabrics, other than carpets"
580310,Cotton gauze (excl. narrow fabrics),2686,Gauze (other than narrow fabrics) of cotton
580390,Gauze of other textiles (excl. narrow fabrics),2687,Other gauze (other than narrow fabrics)
580410,Tulles and other net fabrics,27912,"Tulles and other net fabrics, except woven, knitted or crocheted fabrics;"
580421,"Lace of man-made fibres in piece, in strips or",27912,"Tulles and other net fabrics, except woven, knitted or crocheted fabrics;"
