HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
441191,"Fibreboard of a density =<0.35g/cm3, not worked",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441199,"Fibreboard of a density =<0.35g/cm3, nes",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441211,"Plywood with >=1 outer ply of tropical wood, ea",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441212,Plywood with >=1 outer ply of non-coniferous wo,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441219,"Plywood, each ply =<6mm thick, nes",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441221,"Plywood... >6mm non-coniferous outer ply, with",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441229,"Plywood... >6mm non-coniferous outer ply, nes",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441291,Plywood... containing at  least one layer of pa,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441299,"Plywood, veneered panels and similar laminated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441300,"Densified wood, in blocks, plates, strips or pr",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
450200,"Natural cork, debacked or roughly squared..., e",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480100,"Newsprint, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480210,Hand-made paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480220,Paper and paperboard as a base for photo-sensit,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480230,"Carbonizing base paper, uncoated, in rolls or s",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480240,"Wallpaper base, uncoated, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480251,"Paper... (excl. mechanical fibres), weighing <4",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480252,"Paper... (excl. mechanical fibres), weighing >=",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480253,"Paper... (excl. mechanical fibres), weighing >1",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480260,"Paper... (>10% of mechanical fibres), uncoated,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480300,"Toilet... similar paper, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480411,"Unbleached kraftliner, uncoated, in rolls or sh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480419,"Kraftliner, uncoated (excl. unbleached), in rol",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480421,"Unbleached sack kraft paper, uncoated, in rolls",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480429,"Sack kraft paper (excl. unbleached), uncoated,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480431,"Unbleached kraft paper..., weighing =<150g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480439,"Kraft paper... (excl. unbleached), weighing =<1",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480441,"Unbleached kraft paper..., weighing >150g/m2 bu",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
