HS 2007 Product Code,HS 2007 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
290110,Saturated acyclic hydrocarbons,290110,"Acyclic hydrocarbons, saturated"
290121,Ethylene,290121,Ethylene
290122,Propene (propylene),290122,Propene (propylene)
290123,Butene (butylene) & isomers thereof,290123,Butene (butylene) and isomers thereof
290124,"Buta-1,3-diene & isoprene",290124,"Buta-1,3-diene and isoprene"
290129,Unsaturated acyclic hydrocarbons (excl. of 2901.21-2901.24),290129,"Unsaturated acyclic hydrocarbons, nes"
290211,Cyclohexane,290211,Cyclohexane
290219,"Cyclanes, cyclenes & cycloterpenes other than cyclohexane",290219,"Cyclanes, cyclenes and cycloterpenes"
290220,Benzene,290220,Benzene
290230,Toluene,290230,Toluene
290241,o-Xylene,290241,o-Xylene
290242,m-Xylene,290242,m-Xylene
290243,p-Xylene,290243,p-Xylene
290244,Mixed xylene isomers,290244,Mixed xylene isomers
290250,Styrene,290250,Styrene
290260,Ethylbenzene,290260,Ethylbenzene
290270,Cumene,290270,Cumene
290290,Xylenes (excl. of 2902.41-2902.70),290290,"Other cyclic hydrocarbons, nes"
290311,Chloromethane (methyl chloride) & chloroethane (ethyl chloride),290311,Chloromethane (methyl chloride) and chloroethan
290312,Dichloromethane (methylene chloride),290312,Dichloromethane (methylene chloride)
290313,Chloroform (trichloromethane),290313,Chloroform (trichloromethane)
290314,Carbon tetrachloride,290314,Carbon tetrachloride
290315,"1,2-Dichloroethane (ethylene dichloride)",290315,"1,2-Dichloroethane (ethylene dichloride)"
290319,Saturated chlorinated derivatives of acyclic hydrocarbons (excl. of 2903.11-2903.15),290319,Saturated chlorinated derivatives of acyclic hy
290321,Vinyl chloride (chloroethylene),290321,Vinyl chloride (chloroethylene)
290322,Trichloroethylene,290322,Trichloroethylene
290323,Tetrachloroethylene (perchloroethylene),290323,Tetrachloroethylene (perchloroethylene)
