HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
080720,"Papaws (papayas), fresh",04,"V_F - Vegetables, fruit, nuts"
080810,"Apples, fresh",04,"V_F - Vegetables, fruit, nuts"
080820,"Pears and quinces, fresh",04,"V_F - Vegetables, fruit, nuts"
080910,"Apricots, fresh",04,"V_F - Vegetables, fruit, nuts"
080920,"Cherries, fresh",04,"V_F - Vegetables, fruit, nuts"
080930,"Peaches, including nectarines, fresh",04,"V_F - Vegetables, fruit, nuts"
080940,"Plums and sloes, fresh",04,"V_F - Vegetables, fruit, nuts"
081010,"Strawberries, fresh",04,"V_F - Vegetables, fruit, nuts"
081020,"Raspberries, blackberries, mulberries and logan",04,"V_F - Vegetables, fruit, nuts"
081030,"Black, white or red currants and gooseberries,",04,"V_F - Vegetables, fruit, nuts"
081040,"Cranberries, milberries...etc, fresh",04,"V_F - Vegetables, fruit, nuts"
081090,"Other fruit, fresh, nes",04,"V_F - Vegetables, fruit, nuts"
081310,Dried apricots,04,"V_F - Vegetables, fruit, nuts"
081320,Dried prunes,04,"V_F - Vegetables, fruit, nuts"
081330,Dried apples,04,"V_F - Vegetables, fruit, nuts"
081340,"Other dried fruit, nes",04,"V_F - Vegetables, fruit, nuts"
081350,"Mixtures of dried fruit and nuts, nes",04,"V_F - Vegetables, fruit, nuts"
121210,"Locust beans (incl. locust bean seeds), fresh o",04,"V_F - Vegetables, fruit, nuts"
121299,Vegetable products used primarily for human con,04,"V_F - Vegetables, fruit, nuts"
120100,Soya beans,05,OSD - Oil seeds
120210,"Ground-nuts in shell, not roasted or otherwise",05,OSD - Oil seeds
120220,"Shelled ground-nuts, not roasted or otherwise c",05,OSD - Oil seeds
120300,Copra,05,OSD - Oil seeds
120400,Linseed,05,OSD - Oil seeds
120500,Rape or colza seeds,05,OSD - Oil seeds
120600,Sunflower seeds,05,OSD - Oil seeds
120710,Palm nuts and kernels,05,OSD - Oil seeds
120720,Cotton seeds,05,OSD - Oil seeds
120730,Castor oil seeds,05,OSD - Oil seeds
120740,Sesamum seeds,05,OSD - Oil seeds
120750,Mustard seeds,05,OSD - Oil seeds
120760,Safflower seeds,05,OSD - Oil seeds
120791,Poppy seeds,05,OSD - Oil seeds
120792,Shea nuts (karite nuts),05,OSD - Oil seeds
120799,"Other oil seeds and oleaginous fruits, nes",05,OSD - Oil seeds
121291,"Sugar beet, fresh or dried",06,"C_B - Sugar cane, sugar beet"
